name,acqua | g,calorie | kcal,fibra alimentare | g,proteine totali | g,proteine animali | g,proteine vegetali | g,glucidi disponibili | g,glucidi solubili | g,amido | g,lipidi totali | g,lipidi animali | g,lipidi vegetali | g,lipidi saturi totali | g,acido oleico | g,monoinsaturi totali | g,acido linoleico | g,acido linolenico | g,altri polinsaturi | g,polinsaturi totali | g,colesterolo | g,alcool | g,ferro | g,calcio | g,sodio | g,potassio | g,fosforo | g,zinco | g,tiamina (vit.b1) | g,vitamina b6 | g,riboflavina | g,niacina (vit. pp) | g,vitamina c | g,acido folico | g,retinolo (equivalente) | g,retinolo | g,carotene | g,vitamina d | g,vitamina e | g
pecorino romano,32.0,379.0,0.0,28.3,28.3,0.0,0.0,0.0,0.0,29.5,29.5,0.0,18.74,6.03,7.01,0.31,0.31,0.0,0.62,0.10400000000000001,0.0,0.0021000000000000003,1.16,1.8900000000000001,0.094,0.675,0.0035,3e-05,0.0,0.00047,0.0002,0.0,0.007,0.00014099999999999998,0.000137,2.4e-05,5e-07,0.00073
"tacchino [meleagris gallopavo], intero",72.0,146.0,0.0,21.0,21.0,0.0,0.1,0.1,0.0,6.8,6.8,0.0,2.2,2.08,2.41,1.18,1.18,0.19,2.55,0.082,0.0,0.0031000000000000003,0.023,0.066,0.315,0.28700000000000003,0.0018000000000000002,0.00013000000000000002,0.0,0.00011,0.008,0.0,0.016,7e-06,7e-06,0.0,4e-07,1e-05
mais [zea mays],12.5,355.0,2.9,9.2,0.0,9.2,75.8,2.5,73.3,3.8,0.0,3.8,0.48,0.87,0.87,1.42,1.42,0.0,2.84,0.0,0.0,0.0024,0.015,0.035,0.28700000000000003,0.256,0.0022,0.00035999999999999997,0.0,0.0002,0.0015,0.0,0.0,6.2e-05,0.0,0.000372,0.0,0.00075
granita di limone,73.0,106.0,0.0,0.0,0.0,0.0,28.4,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.014,0.001,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
"cicoria da taglio [chicorium intybus, cv barba di frate]",95.0,12.0,3.6,1.2,0.0,1.2,1.7,1.7,0.0,0.1,0.0,0.1,0.02,0.0,0.0,0.04,0.04,0.0,0.08,0.0,0.0,0.0015,0.15,0.007,0.18,0.026000000000000002,0.0002,3e-05,0.0,8e-05,0.0003,0.008,0.0,0.000267,0.0,0.001602,0.0,0.00226
yogurt di latte intero,87.0,63.0,0.0,3.5,3.5,0.0,3.6,3.6,0.0,3.9,3.9,0.0,2.07,0.83,0.84,0.08,0.08,0.0,0.16,0.018000000000000002,0.0,0.0001,0.111,0.048,0.15,0.08700000000000001,0.0005,3e-05,0.0,0.00016,0.0001,0.0,0.018000000000000002,2.817e-05,2.6e-05,1.3e-05,4e-08,5e-05
zafferano [crocus sativus],11.9,310.0,3.9,11.4,0.0,11.4,61.5,42.4,19.1,5.9,0.0,5.9,1.59,0.39,0.43,0.75,0.75,0.07,1.57,0.0,0.0,0.0111,0.11,0.15,1.72,0.25,0.0011,0.00012,0.0,0.00027,0.0015,0.0,0.0,5.3e-05,0.0,0.000318,0.0,0.0016899999999999999
taleggio,50.0,306.0,0.0,20.6,20.6,0.0,0.0,0.0,0.0,24.8,24.8,0.0,15.39,6.78,8.02,0.51,0.51,0.0,1.02,0.09,0.0,0.0006,0.562,1.153,0.121,0.31,0.002,5e-05,0.0,0.0005200000000000001,0.001,0.0,0.10200000000000001,0.0002825,0.00022999999999999998,0.00031499999999999996,1.8e-07,0.0006500000000000001
rhum,63.3,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0001,0.0,0.001,0.002,0.005,0.0001,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vodka,63.3,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,0.001,0.001,0.005,0.0,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"girasole, semi",4.4,581.0,6.2,19.8,0.0,19.8,18.0,1.7,16.3,47.5,0.0,47.5,5.34,15.63,15.85,23.7,23.7,0.0,47.4,0.0,0.0,0.0064,0.11,0.003,0.71,0.64,0.0050999999999999995,0.0016,0.0,0.00019,0.0040999999999999995,0.0,0.0,2.4999999999999998e-06,0.0,1.4999999999999999e-05,0.0,0.037770000000000005
"pollo, petto",75.3,97.0,0.0,22.2,22.2,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.25,0.35,0.4,0.14,0.14,0.02,0.3,0.067,0.0,0.0016,0.019,0.07200000000000001,0.33,0.2,0.0007,6e-05,0.0,0.00012,0.013000000000000001,0.0,0.014,0.0,0.0,0.0,2e-07,0.00013000000000000002
marmellata di prugne,63.4,134.0,2.6,2.1,0.0,2.1,31.2,31.2,0.0,0.6,0.0,0.6,0.03,0.06,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.039,0.01,0.34400000000000003,0.028,0.0001,1e-05,0.0,2e-05,0.0018000000000000002,0.02,0.033,4.1e-05,0.0,0.00024599999999999996,0.0,0.0
fichi seccati al sole,17.0,232.0,18.5,3.6,0.0,3.6,52.9,52.9,0.0,2.1,0.0,2.1,0.42,0.46,0.46,1.0,1.0,0.0,2.0,0.0,0.0,0.004200000000000001,0.28,0.08700000000000001,1.01,0.092,0.0009000000000000001,0.00016,0.0,0.00012,0.0017,0.0,0.0,8.33e-06,0.0,4.9999999999999996e-05,0.0,0.0
