name,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,"acidi grassi, trans | g","acidi grassi, trans-monoenoici | g","acidi grassi, trans-polienoico | g",acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido folico (vit. b9 o m o folacina) | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,alpha-tocoferolo (vit. e) | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,beta-sistosterolo | g,betaina | g,biotina | g,c0:0 | g,c0:1 | g,"c0:2 n-6 c,c | g",c0:3 n-3 | g,c0:3 n-6 | g,c0:3 not further defined | g,c0:4 not further defined | g,c0:5 n-3 | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c1:5 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c2:0 | g,c2:1 c | g,c2:1 not further defined | g,c2:1 t | g,c2:4 | g,c2:5 n-3 | g,c2:6 n-3 | g,c3:0 | g,c4:0 | g,c4:0÷c10:0 | g,c4:1 c | g,c4:1 | g,c5:0 | g,c5:1 | g,c6:0 | g,c6:1 c | g,c6:1 not further defined | g,c6:1 t | g,c7:0 | g,c7:1 | g,c8:0 | g,c8:1 c | g,c8:1 not further defined | g,c8:1 t | g,c8:2 clas | g,c8:2 i | g,"c8:2 n-6 c,c | g",c8:2 not further defined | g,c8:2 t not further defined | g,"c8:2 t,t | g","c8:3 n-3 c,c,c | g","c8:3 n-6 c,c,c | g",c8:3 not further defined | g,c8:3i | g,c8:4 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",campesterolo | g,carboidrati disponibili | g,carboidrati | %,"carotene, alfa | g",ceneri | g,cistina | g,cloro | g,colecalcifenolo (vit. d) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",destrosio | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fibre | g,fitosteroli | g,fluoro | g,folati totali | g,folato alimentare | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,grassi | g,idrossiprolina | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,licopene | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,luteina + zeaxantina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,retinolo equivalente | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",stigmasterolo | g,tiamina | g,tirosina | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,"vitamina b-12, aggiunta | g",vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,vitamina d2 | g,vitamina d3 | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,zuccheri | g,ß-carotene equivalente | g
"cavoletti di bruxelles, cotti",0.038,0.255,0.102,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.000252,,83.0,,0.0,0.0,0.00043,,1.2,0.153,,0.0002,,0.0,0.0,,,,,0.002,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.004,,,,0.003,,0.034,,,,,0.079,,,,,0.17300000000000001,,0.0,0.036000000000000004,,47.425,,6.85,42.0,0.0,0.95,0.016,,0.0,0.0,0.0406,0.0,,0.07400000000000001,0.0012,4.3,0.74,5.1,2.6,,,5.9999999999999995e-05,5.9999999999999995e-05,0.056,,,,,0.5,,,,0.1,0.057,,0.114,0.0,,0.8,,12.0,0.116,0.00129,0.02,,0.000227,0.024,,0.000607,100.0,,0.317,,,4.625,,46.0,8.300000000000001e-05,,0.0,8e-05,,,1.5e-06,,0.021,,,0.000107,,0.0,0.0,0.0,0.091,0.028,0.117,0.00026625,0.0,0.0,0.00017800000000000002,0.057,0.0,,,0.0,0.0001403,0.00033,,5.3,1.74,0.000465
miele,0.0,0.0,0.0,,,,0.0,0.0,0.013500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000001e-05,0.0,17.55,0.003,0.0,0.0,0.0,0.0,0.0,0.0025,,0.0017,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0055,304.0,304.01,,81.35,99.0,0.0,0.2,0.0015,0.0,0.0,0.0,0.0022,0.0,35.75,0.0055000000000000005,0.00045999999999999996,0.0,0.0,0.0,0.2,,7.000000000000003e-06,2e-06,2e-06,0.005,20.47,1.55,0.0035,0.0,0.0,,,0.0,0.004,0.0005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.00175,0.72,4e-05,0.0005,0.0,0.0002105,100.0,0.0,0.0515,0.045,0.0,0.45,0.6,1.0,1.8000000000000007e-05,,0.0,3.9e-05,0.445,0.0,4e-07,0.003,0.0075,0.0,,0.0,0.004,,,,0.002,0.002,0.0045000000000000005,0.0,0.0,0.0,2.2e-05,0.00075,0.0,,,0.0,0.0,0.0005600000000000001,0.0,80.3,82.12,0.0
mele fresche con buccia,0.006999999999999999,0.051,0.013999999999999999,,,,0.0,0.0,0.05450000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05e-05,0.0,85.38,0.0095,0.0,0.0,0.00017999999999999998,0.0,0.025,0.0055,,0.0001,1.2e-06,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,0.006999999999999999,,,,,0.043,,,,,0.009000000000000001,,0.0,0.005,44.0,45.05,,11.905,98.0,0.0,0.19,0.0015,0.0,0.0,0.0,0.0034,1.1e-05,2.43,0.0055,0.00011,1.84,0.73,2.6,2.4,0.012,3.3e-06,2e-06,3e-06,0.011000000000000001,5.6,0.0,0.008,1.4,0.17,,,0.0,0.0065,0.0045000000000000005,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0115,2.9e-05,0.005,0.0,6.75e-05,0.0015,0.0,9.549999999999999e-05,85.0,0.0,0.1135,0.006,0.0,0.23,0.2,2.0,2.35e-05,1.0,0.0,2.3e-05,2.685,0.0,0.0,0.009000000000000001,0.002,0.0,,2.35e-05,0.002,0.0,0.0,0.0,0.0065,0.0015,0.01,8.099999999999997e-06,0.0,0.0,5.05e-05,0.0053,0.0,,,0.000295,3.9e-06,7.000000000000001e-05,0.006,10.0,10.39,2.25e-05
cheddar,9.391,0.9420000000000001,19.806,,,,0.0,0.0,1.6030000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.092000000000001,6.1160000000000005,0.68,0.5,0.38,3.17,0.0,7.64,8.64,0.88,0.0003865,3.59,37.625,0.7045,0.0,0.0,0.00029,0.0,0.0,0.943,,0.0007,3e-06,0.6,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.541,,0.0,,,0.0,0.0,,1.046,0.0,,,,,0.529,,1.004,,,,0.27899999999999997,,7.905,,,,,0.5770000000000001,,,,,0.365,,0.0,0.7655000000000001,381.0,391.745,,0.89,0.0,0.0,3.93,0.1255,1.03,6.000000000000001e-07,0.0975,0.0165,0.0,,1.3135,0.00059,0.0,0.0,0.0,0.0,,3.4899999999999995e-05,2.550000000000001e-05,1.8e-05,0.5285,0.0,0.0,0.43,0.0,33.14,,,3.9e-05,1.5490000000000002,0.8760000000000001,0.365,2.39,0.0,31.0,31.0,0.0,74.0,2.076,0.0,0.0265,0.075,5e-06,0.6535,8.52,9e-05,100.0,0.88,0.109,2.8115,25.0,24.95,0.0,26.0,3.0500000000000013e-05,,0.000258,0.0004125,0.12,,1.295e-05,1.459,0.6154999999999999,2.44,,1.85e-05,1.2045,,0.0,0.0,0.8879999999999999,0.3205,1.6665,0.00032855000000000004,0.0,9.65e-07,8.7e-05,0.0,4.15e-07,,6e-07,0.00023999999999999998,1.4e-06,0.002705,0.23,0.5,0.52,0.000144
carne di tacchino,0.494,0.312,0.35650000000000004,0.0,,,0.0,0.07,2.0375,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.1485000000000003,3.511,0.0,0.19,0.01,0.03,0.01,0.25,0.21,0.03,0.000433,0.13,73.985,1.2845,0.0,0.0,8.999999999999999e-05,0.04,0.0,1.3635,,0.0048,2e-06,0.0,0.0,,,,,0.017,0.0,0.0,0.03,0.01,0.21,0.03,0.13,0.25,0.19,0.01,,0.0,0.0,0.07,,0.0,0.0,0.03,0.0,,0.0,,,0.004,0.004,,0.0,0.0,,,,,0.0,,0.084,,,,0.0,,0.409,,,,,0.27,,,,,0.017,,0.0,0.0075,107.0,105.605,,2.105,0.0,0.0,2.99,0.23050000000000004,0.054000000000000006,5e-08,0.0465,0.0664,0.0,,0.8240000000000001,0.00112,0.0,0.0,0.0,0.5,0.0,,1.05e-05,4e-06,0.18100000000000002,0.0,0.0,0.9385,0.0,1.66,0.0,0.1,6e-06,1.0490000000000002,0.7275,0.0,1.681,0.0,1.2,1.2,0.0,10.0,1.9315,0.0,0.026500000000000003,0.0,9.000000000000004e-06,0.5965,0.31,0.0034049999999999996,100.0,0.34,0.3265,0.802,24.0,20.535,0.0,90.0,6.35e-05,0.9,1e-05,0.00026000000000000003,0.0,0.38,1.4900000000000006e-05,0.9135,0.53125,0.0,,0.00011499999999999999,0.7445,0.0,0.0,0.0,0.9805,0.24,1.1615,4.95e-06,0.0,1.045e-06,0.000369,0.00285,2e-07,,1e-07,5e-06,0.0,0.001215,0.16,0.0,3.51,0.0
"lepre, coscio",0.63,0.45,0.82,,,,0.0,0.0,2.1785,0.0,0.0,0.0,0.0,0.0,,,3.4960000000000004,3.658,0.0,0.5,0.12,0.08,0.0,0.75,0.72,0.11,0.0008,0.15,72.255,1.3455,,0.0,,0.0,0.0,1.3769999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.54,,,,,0.36,,,,,0.09,,,0.038,120.0,117.005,,0.0,,,1.12,0.2805,0.07400000000000001,,0.07300000000000001,,,,0.9155,0.0047,,,0.0,0.0,,,5e-06,,0.218,0.0,0.0,1.2105,0.0,2.32,,,5e-06,1.058,0.625,0.0,1.7375,,3.2,3.2,0.0,,1.952,,0.0265,0.0,4e-05,0.5575000000000001,0.87,0.0073,80.0,0.62,0.221,1.0895,22.8,22.295,0.0,,0.00172,,0.0,6e-05,0.0,,1.32e-05,0.9885,0.1315,0.0,,6e-05,0.794,,,,0.9975,0.29450000000000004,1.1335,0.0,,1e-06,0.0003,0.0,0.0,,,0.00013000000000000002,0.0,0.0036000000000000008,0.19,0.0,,0.0
patatine chips,15.999,15.998,7.487,0.048,,,0.0,0.0,0.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,11.98,0.19,0.0,0.0,9.51,0.0,0.0,0.0021735,0.0,4.64,0.107,0.0,0.0,0.00674,0.0,51.15,0.1605,,0.0002,0.0,0.001,0.044000000000000004,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.008,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.043,,0.011000000000000001,,0.0,,15.912,,,,,15.827,,,,,0.172,,0.0,0.025,540.0,530.415,,52.83,43.0,0.0,3.95,0.044500000000000005,0.0,0.0,0.0,0.0121,0.0,,0.155,0.001655,,,4.5,4.4,0.181,6.13e-05,6e-05,7.5e-05,0.15825,0.0,0.0,0.1035,0.0,36.4,,,0.0,0.14150000000000004,0.0765,0.0,0.2095,0.0,0.0,32.1,34.6,53.0,0.212,0.0,0.035,0.0,0.00033200000000000005,0.055,9.84,0.004190999999999999,100.0,12.17,1.40475,0.1255,0.0,6.38,7.0,4.0,0.000199,,0.0,0.0001825,0.0,,4.0499999999999985e-06,0.1515,0.6785000000000001,0.0,,0.00010149999999999999,0.1295,,,,0.1265,0.054000000000000006,0.196,0.0,0.0,0.0,0.0006915000000000001,0.0238,0.0,,,0.00244,1.105e-05,0.001745,0.0,0.85,0.37,0.0
"cetrioli, senza buccia",0.002,0.003,0.0915,,,,0.0,0.0,0.018500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.12,0.11,0.0,0.0,0.01,0.0,0.0,0.00012,0.0,96.615,0.0155,0.0,0.0,3e-05,0.0,0.04,0.0155,,0.0001,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.002,,,,,0.002,,,,,0.002,,0.0,0.015,15.0,13.215,,1.98,48.0,8e-06,0.36,0.0035,0.0,0.0,0.0,0.0057,1.8e-05,0.63,0.0155,0.00026000000000000003,0.54,0.21,0.7,0.7,,1.3e-06,1.1500000000000005e-05,1.4e-05,0.019000000000000003,0.375,0.0,0.0125,0.0,0.16,,,0.0,0.006,0.001,0.0,0.0125,0.0,0.0,0.5,0.5,32.0,0.0125,1.6e-05,0.006,0.0,3.65e-05,0.006,0.01,0.0003185,77.0,0.23,0.138,0.006,0.0,0.645,0.7,20.0,3.55e-05,,0.0,2.75e-05,0.0,,5e-08,0.0125,0.0075000000000000015,0.0,,2.550000000000001e-05,0.001,0.0,0.0,2e-05,0.006,0.0035,0.006,1.0800000000000003e-05,0.0,0.0,4.55e-05,0.0071,0.0,,,3.5000000000000004e-05,3.6000000000000007e-06,0.00013000000000000002,0.0,1.8,1.38,1.55e-05
latte in polvere intero,7.923999999999999,0.665,15.665999999999999,,,,0.0,0.0,2.0460000000000003,0.0,0.0,0.0,0.0,0.0,,0.0,5.5120000000000005,6.004,0.76,0.48,0.35,2.56,0.48,6.43,6.36,0.69,0.0025305,2.7,2.835,0.9175,,0.0,0.00058,0.0,0.0,0.8855,,,1.39e-05,0.596,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.614,,0.0,,,0.0,0.0,,0.866,,,,,,0.24,,1.196,,,,0.26899999999999996,,6.192,,,,,0.46,,,,,0.204,,0.0,0.981,484.0,489.97,,40.21,,0.0,6.08,0.2655,0.81,1.05e-05,0.10300000000000001,0.1193,0.0,,1.321,0.000585,,,0.0,0.0,,,4.15e-05,3.7e-05,0.752,0.0,0.0,0.551,0.0,26.71,,,0.00012,1.5435,0.7190000000000001,42.0,2.6715,0.0,24.9,24.9,0.0,,2.1025,0.0,0.0845,0.0,2e-05,0.6455,7.61,0.0006730000000000001,100.0,0.83,1.3,2.719,25.7,26.01,0.0,,5e-05,,0.00025299999999999997,0.0012575,0.0,,1.215e-05,1.5065,0.4055,2.21,,0.0002615,1.1885,,,,1.2325,0.38,1.7885,0.00028510000000000005,0.0,2.825e-06,0.000391,0.0063,5.3699999999999986e-06,,1.05e-05,0.000305,1.1e-06,0.0032700000000000003,0.24,42.0,38.42,0.0001125
"fichi, secchi",0.159,0.345,0.28200000000000003,,,,0.0,0.0,0.6645000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.313,0.0,1.0,0.0,0.02,0.0,0.46,0.32,0.0,0.000472,0.08,24.725,0.138,0.0,0.0,0.00035,0.0,2.535,0.07949999999999999,,0.0007,1e-06,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.001,,,,0.0,,0.158,,,,,0.345,,,,,0.0,,0.0,0.17400000000000004,282.0,252.405,,60.935,86.0,0.0,1.86,0.037000000000000005,0.17,0.0,0.0,0.0158,0.0,24.79,0.0785,0.002515,11.01,1.94,13.0,9.8,,,9e-06,9e-06,0.08900000000000001,23.915,0.065,0.11150000000000004,31.4,0.93,,,1e-06,0.0915,0.038000000000000006,0.0,0.132,0.0,0.0,2.7,2.7,9.0,0.0905,3.2e-05,0.07400000000000001,0.0,0.000505,0.035,0.46,0.0006095,100.0,1.0,0.845,0.6285000000000001,0.0,3.4,3.5,5.0,0.00026349999999999995,,0.0,9.1e-05,0.935,,3e-07,0.132,0.0485,0.0,,0.0001125,0.042,1e-05,1e-05,0.00037,0.0875,0.0205,0.1255,3.5000000000000016e-06,0.0,0.0,0.000183,0.0006,0.0,,,0.00019500000000000008,1.56e-05,0.0007250000000000003,0.081,58.0,47.92,2.7000000000000002e-05
