name,synonyms,category,specific gravity,energy | kcal,protein | g,alcohol | g,water | g,"carbohydrates, available | g",starch | g,sugars | g,dietary fibres | g,"fat, total | g",cholesterol | g,"fatty acids, monounsaturated | g","fatty acids, saturated | g","fatty acids, polyunsaturated | g",beta-carotene | g,vitamin b1 | g,vitamin b2 | g,vitamin b6 | g,vitamin b12 | g,niacin | g,folate | g,pantothenic acid | g,vitamin c | g,vitamin d | g,sodium | g,potassium | g,chloride | g,calcium | g,magnesium | g,phosphorus | g,iron | g,iodide | g,zinc | g
Agar Agar,,Diversi/Gelificanti e leganti,,162.96266118025707,2.4444399177038565,,20.87959096372044,0.0,,,75.47208245910656,0.20370332647532138,,,,,,,,,,,,,,,0.13240716220895887,0.052962864883583566,,0.6722209773685606,0.10185166323766069,0.034629565500804635,0.004583324845694731,,0.0015277749485649104
"Maccheroni dell'alpigiano, preparati",,Cibi/Altri cibi salati/saporiti,,181.1911624597412,6.006880929371854,0.0,63.61385377662653,18.316063161691233,16.838961293812908,1.3786284100197699,1.674048783595435,8.86261120726995,0.025603099043224303,2.067942615029655,5.219093266503415,0.49236728929277496,4.9236728929277496e-06,4.92367289292775e-05,7.8778766286844e-05,0.00012801549521612151,3.15115065147376e-07,0.0006893142050098849,1.083208036444105e-05,0.000236336298860532,0.004431305603634975,2.95420373575665e-07,0.4332832145776421,0.15755753257368801,0.6794668592240295,0.11816814943026599,0.01870995699312545,0.11816814943026599,0.00039389383143422,6.597721676523185e-06,0.00078778766286844
Amaretti (biscotti alle mandorle),,Dolciumi/Biscotti,,450.2399858990028,7.587192667034193,0.0,0.6988203772268335,75.57243222295901,0.9983148246097622,75.57243222295901,3.1946074387512393,12.379103825161051,0.0,7.886687114417122,0.898483342148786,3.294438921212215,0.0,7.986518596878099e-05,0.00018967981667585484,3.9932592984390496e-05,1.9966296492195245e-08,0.0005390900052892716,1.2978092719926907e-05,0.00015973037193756198,0.0,0.0,0.035939333685951445,0.2196292614141477,0.04891742640587835,0.06888372289807361,0.06189551912580526,0.1297809271992691,0.001297809271992691,1.9966296492195246e-06,0.0014974722369146434
"Ananas, zuccherato, conserva",,Frutta/Frutta cotta (incl. conserve),,86.83146013587626,0.39922510407299433,0.0,77.74908901821564,20.16086775568621,0.0,20.16086775568621,1.2974815882372315,0.19961255203649717,0.0,0.0,0.0,0.09980627601824858,,5.988376561094915e-05,1.9961255203649717e-05,6.986439321277401e-05,0.0,0.0002395350624437966,6.287795389149659e-06,0.00014970941402737284,0.008084308357478134,0.0,0.0017965129683284746,0.11976753122189829,0.03493219660638701,0.012974815882372316,0.013972878642554802,0.009880821325806609,0.0002994188280547457,0.0,9.98062760182486e-05
"Ananas, crudo",,Frutta/Frutta fresca,,50.98348063850439,0.3998704363804266,0.0,86.47198186726725,11.296339827747051,0.0,11.296339827747051,1.399546527331493,0.1999352181902133,0.0,0.0,0.0,0.09996760909510664,5.5981861093259724e-05,7.997408727608533e-05,2.9990282728531995e-05,8.997084818559597e-05,0.0,0.0002999028272853199,1.3995465273314931e-05,0.00019993521819021334,0.0179941696371192,0.0,0.001999352181902133,0.14995141364265996,0.03898736754709159,0.014995141364265998,0.014995141364265998,0.010996437000461731,0.0002999028272853199,1.399546527331493e-06,9.996760909510667e-05
"Ananas, non zuccherato, conserva",,Frutta/Frutta cotta (incl. conserve),,50.994186662720445,0.39995440519780745,0.0,86.49014012402586,11.29871194683806,0.0,11.29871194683806,1.3998404181923259,0.19997720259890372,0.0,0.0,0.0,0.09998860129945186,,5.999316077967111e-05,2.9996580389835556e-05,7.99908810395615e-05,0.0,0.00026996922350852,6.999202090961629e-06,0.00016998062220906815,0.008998974116950668,0.0,0.0019997720259890372,0.1299851816892874,0.038995554506786226,0.01399840418192326,0.014998290194917777,0.010998746142939702,0.00029996580389835556,0.0,9.998860129945186e-05
"Mele, cotte, sgocciolate (senza aggiunta di zucchero)",,Frutta/Frutta cotta (incl. conserve),,72.38210440533472,0.40212280225185953,0.0,80.7261525520608,15.481727886696591,0.10053070056296488,15.381197186133628,2.8148596157630164,0.40212280225185953,0.0,0.0,0.10053070056296488,0.10053070056296488,2.0106140112592973e-05,3.0159210168889464e-05,2.0106140112592976e-05,6.031842033777893e-05,0.0,0.00012063684067555786,1.2063684067555784e-05,0.00012063684067555786,0.0046244122258963846,0.0,0.005328127129837139,0.14074298078815084,0.002915390316325981,0.006232903434903823,0.005328127129837139,0.012063684067555785,0.0003015921016888946,1.0053070056296488e-06,0.00010053070056296487
"Mele, sbucciate, secche",,Frutta/Frutta secca,,305.5424045731515,1.5536054469821263,0.0,20.71473929309502,65.45857616618026,0.10357369646547511,62.14421787928506,9.528780074823707,2.0714739293095015,0.0,0.10357369646547511,0.5178684823273754,1.0357369646547507,0.0,9.321632681892758e-05,6.214421787928506e-05,0.00015536054469821262,0.0,0.0003210784590429728,2.0714739293095016e-05,0.0,0.01263599096878796,0.0,0.015536054469821262,0.5385832216204705,0.010357369646547508,0.015536054469821262,0.03210784590429728,0.05800127002066605,0.002071473929309502,1.0357369646547508e-05,0.0006214421787928505
"Mela, cruda",,Frutta/Frutta fresca,,55.251670919022786,0.301372750467397,0.0,85.38894596576249,11.753537268228483,0.10045758348913233,11.653079684739351,2.109609253271779,0.301372750467397,0.0,0.0,0.10045758348913233,0.10045758348913233,2.0091516697826467e-05,3.01372750467397e-05,2.0091516697826467e-05,5.022879174456617e-05,0.0,0.00010045758348913234,1.3059485853587203e-05,0.00010045758348913234,0.005022879174456617,0.0,0.004018303339565293,0.1205491001869588,0.0022100668367609115,0.005022879174456617,0.004018303339565293,0.009041182514021912,0.00020091516697826468,8.036606679130587e-07,0.00010045758348913234
"Torta di mele, cotta nel forno (pasta sfoglia)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,141.42256741456927,2.290647218686685,0.0,72.2051840672977,16.432903960143612,6.871941656060056,9.461368946749351,1.6930870746814632,6.97153501339426,0.038841409360339446,1.6930870746814632,3.8841409360339445,0.49796678667101857,3.684954221365537e-05,3.9837342933681484e-05,4.979667866710186e-05,5.9756014400522226e-05,3.0873940773603147e-07,0.00031869874346945187,6.17478815472063e-06,0.00017926804320156668,0.0026890206480235,1.991867146684074e-07,0.09361775589415149,0.10955269306762408,0.1394307002678852,0.019918671466840742,0.006573161584057444,0.03684954221365537,0.0003983734293368149,2.987800720026111e-06,0.00029878007200261113
