,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
"prosciutto cotto, magro [privato del grasso visibile]",0.007,0.0009,0.28,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,0.0005200000000000001,0.00025,0.0031000000000000003,,0.0,,100.0,69.7,22.2,1.0,1.0,0.0,4.4,,,,0.0,0.0,0.0,,0.726,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,132.00
"agnello, coscio crudo [tessuto muscolare privato del grasso visibile] (ovis agnus)",0.01,0.002,0.213,0.02,0.338,0.00019,0.018,0.00331,1.01,0.01,0.01,0.08,0.54,0.31,0.0,0.0,0.86,0.0,0.04,0.81,0.0,0.0,0.35,0.24,0.01,0.09,0.0,0.0,0.3,0.00016,0.0002,0.00541,,0.0,,100.0,76.9,20.0,0.0,0.0,0.0,2.5,1.01,0.86,0.35,0.0,0.0,0.0,0.07100000000000001,0.068,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,103.00
formaggi grassi,0.531,0.0006,,,0.145,,,,19.0,,,,,,,,7.5,,,,,,2.0,,,,,,,,,,0.000453,,0.00049,100.0,42.8,24.6,0.8,0.8,0.0,29.6,19.0,7.5,2.0,0.0,0.0,0.0,0.08,0.514,0.0,0.0,,,,,,,,,,,,,,,,,,,,,368.00
bovino adulto o vitellone - lombata - [tessuto muscolare privato del grasso visibile] (bos taurus),0.004,0.0014,0.178,0.018,0.333,5.9999999999999995e-05,0.006,0.004,1.73,0.0,0.0,0.11,0.9,0.63,0.0,0.0,1.69,0.08,0.13,1.31,0.0,0.12,1.03,0.49,0.1,0.14,0.12,0.06,0.6,0.0001,0.00015,0.0047,,0.0,,100.0,72.3,21.8,0.0,0.0,0.0,5.2,1.73,1.69,1.03,0.0,0.0,0.0,,0.044,0.0,0.0,999.99,841.0,999.99,999.99,889.0,892.0,999.99,896.0,999.99,999.99,238.0,999.99,626.0,942.0,999.99,772.0,889.0,244.0,100,Trip.,134.00
"uova di anatra, intero",0.057,0.0028,0.195,0.017,0.129,5.9999999999999995e-05,0.0364,0.00141,3.68,0.0,0.0,0.05,3.0,0.63,0.0,0.0,6.52,0.0,0.44,6.08,0.0,0.0,2.98,2.56,0.1,0.32,0.0,0.0,0.8,0.00015,0.0003,0.0001,0.00035999999999999997,0.0,,88.0,70.9,12.2,0.7,0.7,0.0,15.4,3.68,6.52,2.98,0.0,0.0,0.0,0.884,0.122,0.0,0.0,836.88,281.6,673.2,683.76,647.68,847.44,879.9912,422.4,371.36,555.28,250.8,778.8,506.88,526.24,879.9912,539.44,739.2,228.8,127,lisina,190.00
papaia (carica  papaya),0.028,0.0005,0.016,0.01,0.14,1e-05,0.0006,7.000000000000001e-05,0.04,0.0,1.0,7.0,0.03,2.0,,,0.03,,0.02,0.01,0.0,0.0,0.03,6.0,0.02,0.0,0.0,0.0,0.7,3e-05,3e-05,0.0003,0.000265,0.06,0.0011200000000000001,70.0,89.3,0.4,6.9,6.9,0.0,0.1,0.04,0.03,0.03,2.3,,,0.0,0.007,0.0,,17.5,3.5,7.0,34.3,7.699999999999999,10.5,23.099999999999998,7.0,12.6,9.799999999999999,0.0,7.0,1.4,5.6,11.2,3.5,6.3,5.6,12,solforati,28.00
"pasta di semola, cotta [bollita in acqua distillata senza aggiunta di sale e scolata]",0.004,0.0008,0.032,0.024,0.033,0.0001,,0.0005,,,,,,,,,,,,,,,,,,,,,,2e-05,4e-05,0.0006,0.0,0.0,,100.0,61.7,4.7,30.3,1.3,26.4,0.5,,,,1.5,0.51,1.03,0.0,0.001,0.0,,95.0,100.0,171.0,216.0,135.0,238.0,999.99,488.0,151.0,151.0,107.0,245.0,78.0,194.0,366.0,128.0,240.0,48.0,35,Lis.,137.00
"latte di vacca pastorizzato, parzialmente scremato",0.12,0.0001,0.094,0.011,0.154,1e-05,0.0016,0.00037,0.89,0.01,0.05,0.17,0.45,0.21,0.0,0.0,0.47,0.0,0.04,0.43,0.0,0.0,0.08,0.05,0.03,0.0,0.0,0.0,0.1,4e-05,0.00017,8.999999999999999e-05,1.8999999999999998e-05,0.001,4e-05,100.0,88.5,3.5,5.0,5.0,0.0,1.5,0.89,0.47,0.08,0.0,0.0,0.0,0.007,0.05,0.0,0.0,264.0,90.0,121.0,253.0,150.0,181.0,697.0,323.0,70.0,115.0,31.0,223.0,84.0,201.0,326.0,161.0,161.0,47.0,128,triptofano,46.00
lamponi (rubus idaeus),0.049,0.001,0.052,,0.22,,,,0.01,0.0,0.0,0.0,0.01,3.0,,,0.05,,0.0,0.04,4.0,0.0,0.31,0.2,0.1,0.0,0.0,0.0,16.4,5e-05,2e-05,0.0005,1.3e-05,0.025,,100.0,84.6,1.0,6.5,6.5,0.0,0.6,0.01,0.05,0.31,7.4,,,0.0,0.003,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,34.00
fiocchi d'avena (avena sativa),0.054,0.0052,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00055,0.00014000000000000001,0.001,0.0,0.0,,100.0,10.3,8.0,72.8,0.0,66.2,7.5,,,,8.3,3.3,4.99,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,373.00
cacao magro in polvere,,,,,,,,,4.48,0.0,0.0,0.0,1.84,2.64,0.0,0.0,2.96,0.0,0.0,2.96,0.0,0.0,0.32,0.16,0.0,0.16,0.0,0.0,0.1,,,,,0.0,,100.0,,,,,,8.0,4.48,2.96,0.32,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
yogurt greco intero bianco,0.15,0.0003,0.13,,0.15,,,,6.0,,,,,,,,2.0,,,,,,1.0,,,,,,,3e-05,0.00035999999999999997,0.0001,0.000121,,,100.0,78.5,6.4,2.0,2.0,0.0,9.1,6.0,2.0,1.0,0.0,0.0,0.0,,0.07100000000000001,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,115.00
bevanda tipo cola,0.005,,0.015,,0.001,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,89.0,,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,39.00
pop corn,0.01,0.0027,0.3,,0.301,0.00041999999999999996,,0.00344,,,,,,,,,,,,,,,,,,,,,,0.0002,0.00028000000000000003,0.00195,1.9999999999999998e-05,0.0,,100.0,4.3,12.0,77.9,,,4.2,,,,15.1,,,0.0,0.004,0.0,0.00061,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,378.00
caciottina mista,0.36,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,41.3,26.9,1.5,1.5,0.0,28.5,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,370.00
farina di castagne (castanea vulgaris),0.05,0.0032,0.164,,0.847,,,,,,,,,,,,,,,,,,,,,,,,,0.00023,0.00037,0.001,0.0,0.0,,100.0,11.4,6.1,76.2,,,3.7,,,,,,,0.0,0.011,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,343.00
"pesche, disidratate (prunus persica)",0.062,0.0035,0.151,0.057,1.229,0.00049,,0.00078,0.11,0.0,,,0.09,0.01,,,0.37,,8.0,0.36,,,0.49,0.48,0.01,0.03,,,4.4,3e-05,0.0001,0.0078,0.0005,0.014,,100.0,3.0,4.8,88.0,88.0,0.0,0.9,0.11,0.37,0.49,3.5,,,0.0,0.021,0.0,0.0,157.0,91.0,124.0,817.0,192.0,226.0,743.0,206.0,171.0,292.0,40.0,267.0,118.0,141.0,277.0,128.0,154.0,14.0,25,triptofano,357.00
rene di suino (sus scrofa domestica),,,,0.019,,0.00041999999999999996,0.145,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.41000000000000003,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
fave secche crude (vicia faba),,,,,,,,,0.5,0.0,0.0,0.0,0.4,0.06,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,1.26,1.16,0.1,0.0,0.0,0.0,2.5,,,,,,,100.0,10.2,21.3,29.7,14.5,13.9,3.0,0.5,0.6,1.26,21.1,1.1,20.0,0.0,,0.0,0.00084,999.99,554.0,999.99,999.99,786.0,999.99,999.99,932.0,966.0,976.0,187.0,999.99,172.0,936.0,999.99,749.0,999.99,224.0,67,Solf.,224.00
"zucchine, scure, cotte [in forno a microonde senza aggiunta di acqua e di sale] (cucurbita pepo)",,,,0.042,,0.00014000000000000001,0.001,0.00121,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,1.3,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
farina di soia (glicine max),0.21,0.006900000000000001,0.6,0.429,1.66,0.00292,0.0075,0.00392,3.3,0.0,0.02,0.04,2.25,0.9,0.07,0.02,5.7,0.0,0.04,5.62,0.04,0.0,13.34,11.68,1.66,0.0,0.0,0.0,4.0,0.00075,0.00028000000000000003,0.002,0.0,0.0,0.00195,100.0,7.0,36.8,23.4,11.2,11.1,23.5,3.3,5.7,13.34,11.2,,,0.0,0.009000000000000001,0.0,,999.99,931.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,556.0,999.99,466.0,999.99,999.99,999.99,999.99,502.0,114,lisina,446.00
yogurt intero alla frutta,,,,,,,,,1.5,0.09,0.03,0.11,0.25,0.11,0.0,0.0,0.8,0.01,0.03,0.26,0.0,0.0,0.5,0.01,0.01,0.0,0.0,0.0,0.0,,,,,,,100.0,,3.0,15.0,,0.0,2.8,1.5,0.8,0.5,0.0,0.0,0.0,0.007,0.045,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,90.00
"noci secche, con guscio (juglans regia)",0.083,0.0021000000000000003,0.38,0.131,0.368,0.0015,0.0031,0.0027,5.57,0.0,0.0,0.56,3.62,1.05,0.34,0.0,9.54,0.0,0.16,9.38,0.0,0.0,40.66,34.02,6.64,0.0,0.0,0.0,7.3,0.00045000000000000004,0.0001,0.0019,8e-06,,0.003,39.0,3.5,14.3,5.1,3.1,1.8,68.1,5.57,9.54,40.66,6.2,0.84,5.37,0.0,0.002,0.0,0.00076,151.71,134.55,389.9961,389.9961,174.72,286.26,389.9961,251.55,272.22,241.02,84.63000000000001,290.55,107.25,242.97,389.9961,176.67000000000002,250.38,40.56,47,Lis.,689.00
pompelmo (citrus paradisi),0.017,0.0003,0.016,,0.23,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5e-05,3e-05,0.0002,,0.04,,70.0,91.2,0.6,6.2,6.2,0.0,0.0,0.0,0.0,0.0,1.6,0.54,1.06,0.0,0.001,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,26.00
"broccolo a testa, cotto [bollito in acqua distillata senza aggiunta di sale] (brassica loeracea, cv. botritis caput)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-06,0.053,,100.0,88.3,4.3,4.5,4.5,0.0,0.5,,,,3.3,0.84,2.42,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,39.00
pane al malto,0.11,0.0028,0.16,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,0.00045000000000000004,0.00013000000000000002,0.0028,,0.0,,100.0,26.0,8.3,56.6,26.1,27.7,2.4,,,,,,,0.0,0.28,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,267.00
"mais, amido (zea mays)",0.002,0.00047,0.013,0.003,0.003,5e-05,0.0028,5.9999999999999995e-05,9.0,0.0,0.0,0.0,9.0,1.0,,,0.01,,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.0,0.3,86.8,2.5,76.7,,9.0,0.01,0.02,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,,6.0,8.0,12.0,20.0,9.0,12.0,53.0,24.0,9.0,19.0,6.0,14.0,6.0,10.0,36.0,10.0,13.0,1.0,34,triptofano,327.00
cornetto panna e cioccolato,0.103,,0.222,,,,,,9.0,,,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,,100.0,43.2,5.1,34.9,,,15.5,9.0,4.0,2.0,,,,0.057,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,291.00
pane di tipo 00,0.014,0.0008,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-05,2e-05,0.00101,0.0,0.0,,100.0,29.0,8.6,66.9,1.9,59.1,0.4,,,,3.2,1.46,1.72,0.0,,0.0,5e-05,166.0,160.0,260.0,332.0,224.0,417.0,999.99,999.99,297.0,257.0,226.0,375.0,119.0,337.0,621.0,170.0,418.0,62.0,33,Lis.,289.00
"spigola d'allevamento, filetti (morone labrax)",0.03,,1.15,,,,,,1.44,0.0,0.0,0.34,0.91,0.19,0.0,0.0,2.13,0.0,0.57,1.12,0.37,0.07,2.56,0.37,0.02,0.37,0.48,0.78,1.8,,,,,,,100.0,69.9,21.3,0.8,0.8,0.0,6.8,1.44,2.13,2.56,0.0,0.0,0.0,0.075,,0.0,0.0,999.99,552.0,,,967.0,,,,,0.0,0.0,999.99,897.0,914.0,999.99,,999.99,249.0,100,Trip.,149.00
kiwi (actinidia deliciosa),0.025,0.0005,0.07,0.012,0.4,,,,0.02,0.0,0.0,0.0,0.01,0.01,,,0.03,,0.0,0.03,0.0,0.0,0.24,0.2,0.03,0.0,0.0,0.0,8.3,2e-05,5e-05,0.0004,1.8e-05,0.085,0.0011200000000000001,87.0,84.6,1.2,14.0,14.0,,0.6,0.02,0.03,0.24,2.2,0.78,1.43,0.0,0.005,0.0,0.0,51.33,20.01,84.39,134.85,47.85,43.5,153.12,37.41,51.33,44.37,27.84,53.94,16.53,46.11,54.81,36.54,37.41,0.0,0.0,,61.00
crema spalmabile novi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,42.7,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,538.00
bovino adulto o vitellone - scamone - [tessuto muscolare privato del grasso visibile] (bos taurus),0.004,0.0013,0.18,0.016,0.337,5e-05,0.003,0.0039,1.23,0.0,0.0,0.08,0.64,0.45,0.0,0.0,1.2,0.06,0.09,0.93,0.0,0.09,0.74,0.35,0.07,0.1,0.08,0.04,0.6,7.000000000000001e-05,0.0002,0.0048,,0.0,,100.0,73.8,21.4,0.0,0.0,0.0,3.7,1.23,1.2,0.74,0.0,0.0,0.0,,0.04,0.0,0.0,999.99,826.0,999.99,999.99,873.0,875.0,999.99,880.0,999.99,999.99,233.0,999.99,614.0,924.0,999.99,758.0,873.0,240.0,99,Trip.,119.00
salmone fresco (salmo salar),0.027,0.0007,0.28,0.026,0.31,7.000000000000001e-05,0.0446,0.00055,2.97,0.0,0.0,0.52,2.03,0.42,0.0,0.0,4.6,0.0,0.65,2.46,0.91,0.58,3.05,0.15,0.09,0.05,0.89,1.19,1.0,0.0002,0.00015,0.007,1.3e-05,0.0,0.001,65.0,68.0,18.4,1.0,1.0,0.0,12.0,2.97,4.6,3.05,0.0,0.0,0.0,0.035,0.098,0.0,0.0,649.9935,381.55,649.9935,649.9935,568.1,528.45,649.9935,458.25,622.0500000000001,649.9935,139.1,649.9935,383.5,597.35,649.9935,437.45,505.70000000000005,144.95000000000002,100,triptofano,185.00
"agnello, costoletta cruda [tessuto muscolare privato del grasso visibile] (ovis agnus)",0.013,0.0017,0.209,0.02,0.325,0.00017,0.018,0.00275,1.09,0.01,0.01,0.09,0.58,0.34,0.0,0.0,0.94,0.0,0.04,0.87,0.0,0.0,0.33,0.23,0.01,0.08,0.0,0.0,0.3,0.00017999999999999998,0.00019,0.0057599999999999995,,0.0,,100.0,76.5,20.4,0.0,0.0,0.0,2.7,1.09,0.94,0.33,0.0,0.0,0.0,0.075,0.07,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,106.00
mele fresche - renette (pyrus malus (malus pumila)),0.005,0.0002,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,71.0,87.6,0.3,10.0,10.0,,0.1,,,,1.7,,,0.0,,0.0,6e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,40.00
oca (anser anser),0.013,0.0018,0.197,,0.406,,,,9.39,0.0,0.0,0.19,7.41,1.79,0.0,0.0,18.6,0.0,1.43,17.1,0.0,0.0,4.12,3.93,0.19,0.0,0.0,0.0,0.4,7.000000000000001e-05,0.0002,0.0064,8.999999999999999e-05,0.0,,70.0,49.1,15.8,0.0,0.0,0.0,34.4,9.39,18.6,4.12,0.0,0.0,0.0,,0.12,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,373.00
vongola (amigdala decussata),0.046,0.013980000000000001,0.169,0.009,0.314,0.00034,0.024300000000000002,0.0013700000000000001,0.4,,,,,,,,0.3,,,,,,1.3,,,,,,,8e-05,0.00021,0.00176,1.6e-05,0.013000000000000001,0.001,25.0,82.5,10.2,2.2,2.2,0.0,2.5,0.4,0.3,1.3,0.0,0.0,0.0,0.034,0.056,0.0,0.0,238.5,61.25,233.0,249.9975,137.5,143.0,249.9975,130.25,199.75,193.0,42.0,139.5,72.0,139.0,224.75,102.25,114.5,35.75,100,istidina,72.00
"orata fresca, filetti (sparus auratus)",,,,,,,,,0.88,0.0,0.0,0.04,0.65,0.17,0.0,0.0,0.93,0.0,0.13,0.62,0.09,0.04,1.21,0.11,0.01,0.19,0.29,0.38,1.4,,,,,0.0,,100.0,73.2,20.7,1.0,1.0,0.0,3.8,0.88,0.93,1.21,0.0,0.0,0.0,0.064,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,121.00
"zucchine, cotte [bollite in acqua distillata senza aggiunta di sale] (cucurbita pepo)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,84.2,3.2,3.4,3.2,0.2,0.2,,,,1.3,0.35,0.98,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,27.00
"merendine, tipo briosche",0.023,0.0015,,,,0.00016,,0.00066,7.2,,,,,,,,6.6,,,,,,1.9,,,,,,,,,,,0.0,,100.0,11.3,8.2,65.7,22.5,39.3,17.6,7.2,6.6,1.9,,,,0.18,,0.0,,221.0,,,,271.0,,,,,0.0,107.0,443.0,148.0,394.0,681.0,312.0,467.0,82.0,47,Lis.,438.00
wafer ricoperto di cioccolato,0.2,0.0015,0.19,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,0.00011,0.00044,0.0005,4.7e-05,0.0,,100.0,1.3,8.2,60.3,46.8,12.3,26.6,,,,,,,,0.11,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,498.00
"tonno, sott'olio, sgocciolato (euthynnus pelamis)",0.007,0.0017,0.205,,0.301,,,,1.53,0.0,0.0,0.02,1.41,0.09,,,2.94,,0.08,2.83,0.02,0.0,2.88,2.68,0.07,0.0,0.02,0.1,1.8,4e-05,0.00011,0.010400000000000001,1.4e-05,0.0,,100.0,62.3,25.2,0.0,0.0,0.0,10.1,1.53,2.94,2.88,0.0,0.0,0.0,0.065,0.316,0.0,0.0,999.99,882.0,999.99,999.99,999.99,999.99,999.99,919.0,999.99,999.99,264.0,999.99,881.0,999.99,999.99,934.0,999.99,280.0,100,Trip.,192.00
olio di mandorle dolci (prunus amygdalus communis),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,6.5,1.7,,,69.9,,0.6,69.4,0.0,0.0,17.4,17.4,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0458,100.0,,0.0,0.0,0.0,0.0,99.9,8.2,69.9,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,899.00
pinoli con guscio (pinus pinea),0.04,0.002,0.466,0.233,0.599,0.00102,0.0166,0.00425,7.79,0.0,0.0,0.0,3.67,1.67,,,19.07,,0.2,17.9,0.96,0.0,21.34,20.68,0.65,0.0,0.0,0.0,2.7,0.00039000000000000005,0.00025,0.0027,9e-06,0.0,0.0035,29.0,4.3,31.9,4.0,3.9,0.1,50.3,7.79,19.07,21.34,4.5,0.76,3.77,0.0,0.004,0.0,,218.66,186.17999999999998,289.9971,289.9971,233.16,289.9971,289.9971,289.9971,289.9971,289.9971,273.18,289.9971,211.98999999999998,287.39,289.9971,289.9971,289.9971,87.0,39,Lis.,595.00
"uova di gallina, tuorlo, in polvere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,2.8000000000000003,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
fagiano (phasianus colchicus),0.013,0.00115,0.23,0.02,0.29,5.9999999999999995e-05,0.0162,0.0009699999999999999,1.9,,,,,,,,1.8,,,,,,0.9,,,,,,,0.00017,0.00019,0.011300000000000001,4.9e-05,0.0,,85.0,69.2,24.3,0.0,0.0,0.0,5.2,1.9,1.8,0.9,0.0,0.0,0.0,0.066,0.07,0.0,0.0,849.9915,798.15,849.9915,849.9915,849.9915,849.9915,849.9915,731.0,849.9915,849.9915,262.65,849.9915,583.1,849.9915,849.9915,657.05,782.0,278.8,113,aromatici,144.00
ciliege (prunus avium),0.03,0.0006,0.018,0.018,0.229,8e-05,0.0006,0.0001,0.06,0.0,0.0,2.0,0.04,0.01,,,0.08,,1.0,0.08,0.0,0.0,0.09,0.04,0.04,0.0,0.0,0.0,1.3,3e-05,3e-05,0.0005,1.8999999999999998e-05,0.011,0.00013000000000000002,86.0,86.2,0.8,12.0,12.0,0.0,0.1,0.06,0.08,0.09,1.3,0.49,0.8,0.0,0.003,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,50.00
"melù o pesce molo, stoccafisso secco (gadus poutassou)",0.06,0.0033,0.45,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00014000000000000001,0.0005,0.0035,0.0,0.0,,78.0,12.0,80.1,1.1,1.1,0.0,3.5,,,,0.0,0.0,0.0,,0.5,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,356.00
bovino adulto o vitellone - fesa - [tessuto muscolare privato del grasso visibile] (bos taurus),0.004,0.0018,0.214,0.018,0.342,5e-05,0.003,0.0039,0.6,0.0,0.0,0.04,0.31,0.22,0.0,0.0,0.59,0.03,0.05,0.45,0.0,0.04,0.36,0.17,0.03,0.05,0.04,0.02,0.6,0.00015,0.00026000000000000003,0.0063,,0.0,,100.0,75.2,21.8,0.0,0.0,0.0,1.8,0.6,0.59,0.36,0.0,0.0,0.0,,0.041,0.0,0.0,999.99,841.0,999.99,999.99,889.0,892.0,999.99,896.0,999.99,999.99,238.0,999.99,626.0,942.0,999.99,772.0,889.0,244.0,100,Trip.,103.00
caciottina fresca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000202,,0.00022,100.0,54.8,17.3,0.5,0.5,0.0,21.3,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,263.00
gelato confezionato- panna ricoperta di cioccolato fondente,0.109,,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,44.8,4.5,28.2,28.2,,21.4,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,316.00
"albicocche, disidratate (prunus armeniaca)",0.086,0.0053,0.139,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,0.0036000000000000003,0.00141,0.015,,100.0,3.5,5.6,84.6,84.6,0.0,1.0,,,,,,,0.0,0.033,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,349.00
pagello (pagellus centrodontus),0.034,0.0043,,0.022,0.69,0.0004,,0.0016,0.54,0.0,0.0,0.04,0.24,0.08,0.0,0.0,0.43,0.0,0.06,0.31,0.04,0.01,0.36,0.02,0.01,0.05,0.07,0.0,0.7,,,,,,,,79.0,21.0,0.0,0.0,0.0,1.9,0.54,0.43,0.36,0.0,0.0,0.0,0.035,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,101.00
sedano rapa (brassica rapa cv. rapifera),0.052,0.0005,0.09,0.02,0.3,7.000000000000001e-05,0.0007,0.00033,0.07,0.0,0.0,2.0,0.06,6.0,,,0.05,,2.0,0.05,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,1.8,7.000000000000001e-05,0.00011,0.0005,0.0,0.006,0.00035999999999999997,72.0,88.0,1.9,3.8,3.8,0.0,0.1,0.07,0.05,0.14,1.8,,,0.0,0.1,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,23.00
salsiccia di fegato,0.041,0.0053,0.154,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,0.00024,0.00092,0.0036000000000000003,0.000102,0.002,,100.0,42.9,12.4,0.9,0.9,0.0,41.2,,,,0.0,0.0,0.0,0.184,0.81,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,424.00
"cuore di pollo, cotto (gallus gallus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,0.231,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
