,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
"bieta cruda (beta vulgaris, cv. cicla)",0.067,0.001,0.029,0.038,0.196,0.00016,,0.00078,,,,,,,,,,,,,,,,,,,,,,3e-05,0.00019,0.0018000000000000002,0.000263,0.024,,82.0,89.3,1.3,2.8,2.8,0.0,0.1,,,,1.2,,,0.0,0.01,0.0,,49.199999999999996,27.06,49.199999999999996,102.5,50.839999999999996,55.76,211.55999999999997,41.0,63.959999999999994,63.959999999999994,16.4,49.199999999999996,13.94,32.8,76.25999999999999,41.0,44.279999999999994,17.22,80,Lis.,17.00
piselli secchi (pisum sativum),0.048,0.0045,0.32,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,0.00058,0.00015,0.0022,9.999999999999999e-06,0.004,,100.0,13.0,21.7,48.2,2.9,41.2,2.0,,,,15.7,,,0.0,0.038,0.0,0.0008,999.99,473.0,999.99,999.99,841.0,898.0,999.99,808.0,838.0,845.0,232.0,973.0,189.0,884.0,999.99,567.0,950.0,194.0,78,Solf.,286.00
"aringa, marinata (clupea harengus)",0.03,0.00122,0.15,,0.098,,,,2.38,0.0,0.0,0.72,1.55,0.1,,,11.94,,1.38,1.75,3.64,5.16,1.67,0.21,0.0,0.0,0.84,0.54,0.7,5e-05,0.00021,0.0033,4.6e-05,,,95.0,60.2,18.3,0.0,0.0,0.0,14.0,2.38,11.94,1.67,0.0,0.0,0.0,0.097,1.03,0.0,0.0,949.9905,397.09999999999997,806.55,949.9905,590.9,550.05,949.9905,476.9,646.9499999999999,815.0999999999999,144.4,694.4499999999999,399.0,621.3,949.9905,455.04999999999995,526.3,151.04999999999998,101,triptofano,199.00
fiori di zucca (cucurbita pepo),0.039,0.002,0.037,0.024,0.173,,0.0007,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,8.999999999999999e-05,0.00016,0.00069,0.000252,0.028,,79.0,94.3,1.7,0.5,0.5,0.0,0.4,0.0,0.0,0.0,,,,0.0,0.005,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,12.00
lardo,0.0,0.0,0.0,0.0,0.001,0.0,0.0002,0.00011,33.12,0.27,0.07,0.62,21.07,11.09,0.0,0.0,37.14,0.0,1.29,33.63,2.22,0.0,28.77,25.83,2.94,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0012,100.0,1.0,0.0,0.0,0.0,0.0,99.0,33.12,37.14,28.77,0.0,0.0,0.0,0.095,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,891.00
sardine fritte (sardina pilchardus),,,,0.102,,0.0021000000000000003,0.0845,0.0057,4.14,0.0,0.0,0.45,2.71,0.68,0.0,0.0,10.51,0.0,0.54,9.76,0.0,0.0,4.52,0.8,0.43,0.65,0.91,1.53,1.1,,,,,0.0,,75.0,43.1,32.3,,,0.0,21.2,4.14,10.51,4.52,0.0,0.0,0.0,,,0.0,0.0,187.5,84.0,110.25,228.75,117.0,120.75,300.0,215.25,207.0,204.75,27.0,130.5,64.5,102.75,187.5,59.25,79.5,0.0,92,Fenil.,
pane azzimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,100.0,4.5,10.7,87.1,1.9,77.5,0.8,,,,2.7,1.21,1.46,0.0,0.4,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,377.00
"mais in scatola, sgocciolato (zea mays)",0.004,0.0005,0.079,,0.22,5e-05,0.0007,0.00045,0.15,0.0,0.0,0.0,0.14,0.01,,,0.29,,0.0,0.29,0.0,0.0,0.47,0.45,0.01,0.0,0.0,0.0,3.0,0.00025,0.00017999999999999998,0.00086,2.4e-05,0.007,0.0005,100.0,70.3,3.4,19.5,4.3,13.8,1.3,0.15,0.29,0.47,1.4,,,0.0,0.27,0.0,,,,,,,,,,,,,,,,,,,,,,98.00
pollo intero senza pelle crudo (gallus gallus),0.008,0.0007,0.2,0.026,0.307,5.9999999999999995e-05,0.01,0.00126,1.23,0.0,0.0,0.04,0.69,0.48,0.0,0.0,1.08,0.05,0.18,0.83,0.0,0.0,0.81,0.53,0.04,0.13,0.01,0.03,0.7,0.0001,0.00015,0.0058,,0.0,,62.0,76.1,19.4,0.0,0.0,0.0,3.6,1.23,1.08,0.81,0.0,0.0,0.0,0.075,0.07,0.0,0.0,619.9938,427.18,619.9938,619.9938,590.86,548.7,619.9938,454.46,558.0,619.9938,152.52,619.9938,386.26,607.6,619.9938,420.98,510.26,133.3,100,Trip.,110.00
"peperoni, rossi crudi (caspicum annuum, cv. grossum)",,,,0.018,,8e-05,,0.00136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,
mora di rovo (rubus fruticosus),0.036,0.0016,0.048,,0.26,,,,0.01,0.0,0.0,0.0,9.0,2.0,,,0.03,,0.0,0.03,3.0,0.0,0.22,0.14,0.07,0.0,0.0,0.0,15.8,3e-05,5e-05,7.000000000000001e-05,2e-06,0.019,,100.0,85.0,1.3,8.1,8.1,0.0,,0.01,0.03,0.22,3.2,,,0.0,0.002,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,36.00
salame fabriano,0.046,0.0015,,0.033,0.455,0.00014000000000000001,0.0031,0.0038,12.19,0.0,0.0,0.49,7.55,4.07,,0.0,15.84,0.0,0.89,14.53,0.32,0.0,4.47,3.91,0.23,0.14,0.0,0.0,0.4,0.00015,0.0001,,,0.0,,100.0,32.0,26.5,1.5,1.5,0.0,34.3,12.19,15.84,4.47,0.0,0.0,0.0,0.088,1.683,0.0,0.0,999.99,902.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,286.0,999.99,684.0,999.99,999.99,894.0,999.99,292.0,100,Trip.,420.00
birra doppio malto,0.001,0.0,0.028,,0.035,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3e-05,0.0009000000000000001,0.0,0.001,0.0,100.0,93.5,0.2,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.5,0.0,,,,,,,,,,,,,,,,,,,,,52.00
rosmarino (rosmarinus officinalis),0.37,0.0085,0.02,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,9.2e-05,0.029,,100.0,72.5,1.4,13.5,13.5,,4.4,,,,,,,0.0,0.015,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,96.00
foglie di rapa (brassica (rapa) campestris),0.169,0.0027,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,0.00037,0.0018000000000000002,0.000299,0.081,,63.0,92.5,2.6,2.8,2.8,0.0,0.1,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,22.00
"finocchi, cotti [in forno a microonde senza aggiunta di acqua e di sale] (foeniculum vulgare)",,,,0.024,,0.00016,0.0009,0.00066,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,,,,0.0,,100.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
prugne (prunus domestica),0.013,0.0002,0.014,0.007,0.19,4e-05,0.0005,0.0001,0.0,,,,,,,,0.4,,,,,,0.0,,,,,,,8e-05,5e-05,0.0005,1.6e-05,0.005,0.0006,90.0,87.5,0.5,10.5,10.5,0.0,0.1,0.0,0.4,0.0,1.5,0.6,0.87,0.0,0.002,0.0,,15.3,11.700000000000001,11.700000000000001,224.1,14.4,18.0,33.300000000000004,30.6,10.8,26.1,3.6,17.1,5.4,14.4,18.900000000000002,5.4,15.3,0.0,0,triptofano,42.00
ravanelli (raphanus sativus),0.039,0.0009,0.029,,0.24,4e-05,0.0007,0.0003,0.03,0.0,0.0,0.0,0.02,4.0,,,0.01,,0.0,0.01,0.0,0.0,0.04,0.01,0.02,0.0,0.0,0.0,1.5,3e-05,2e-05,0.0004,1e-06,0.018000000000000002,0.001,99.0,95.6,0.8,1.8,1.8,0.0,0.1,0.03,0.01,0.04,1.3,0.07,1.23,0.0,0.059000000000000004,0.0,,34.65,12.87,39.6,47.519999999999996,28.71,20.79,130.68,17.82,21.78,21.78,4.95,31.68,6.93,29.7,36.63,12.87,22.77,3.96,60,triptofano,11.00
"olii vegetali [oliva, soia, mais ecc.]",,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,100.0,,0.0,0.0,0.0,0.0,99.9,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,899.00
"merendine, tipo pan di spagna",0.058,0.0014,0.117,,0.103,0.00015,,0.0007099999999999999,6.1,,,,,,,,4.2,,,,,,1.4,,,,,,,,,,,0.0,,100.0,17.9,7.4,62.7,34.9,25.3,13.1,6.1,4.2,1.4,,,,0.14200000000000002,,0.0,,278.0,,,,238.0,372.0,,,,0.0,98.0,383.0,186.0,322.0,579.0,257.0,370.0,78.0,65,Lis.,383.00
"tonno, in salamoia, sgocciolato (euthynnus pelamis)",0.011,0.0015300000000000001,0.163,0.027,0.237,5e-05,0.0804,0.0007700000000000001,0.0,,,,,,,,0.0,,,,,,0.4,,,,,,1.0,6e-05,8.999999999999999e-05,0.01,6.5e-05,0.0,0.0005300000000000001,100.0,73.4,25.1,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.063,0.338,0.0,0.0,999.99,751.0,999.99,999.99,999.99,999.99,999.99,902.0,999.99,999.99,273.0,999.99,755.0,999.99,999.99,861.0,996.0,286.0,101,triptofano,103.00
"tacchino, coscio, con pelle crudo (meleagris gallopavo)",,,,0.025,,0.00016,0.006,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.092,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
mandarini (citrus aurantium var. nobilis),0.032,0.0003,0.019,0.012,0.21,2e-05,0.0005,0.00023999999999999998,0.02,0.0,0.0,1.0,0.02,1.0,,,0.03,,4.0,0.03,0.0,0.0,0.03,0.02,0.01,0.0,0.0,0.0,1.6,8e-05,7.000000000000001e-05,0.0003,1.8e-05,0.042,0.00024,80.0,81.4,0.9,17.6,17.6,0.0,0.3,0.02,0.03,0.03,1.7,0.67,1.03,0.0,0.001,0.0,0.0,25.6,9.600000000000001,35.2,61.6,8.0,17.6,51.2,24.8,51.2,27.200000000000003,5.6000000000000005,21.6,10.4,13.600000000000001,12.8,8.8,16.8,4.800000000000001,38,leucina,72.00
"trota, surgelata, cotta [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (salmo trutta)",0.017,0.0023,0.25,0.028,0.53,,,0.00136,0.48,0.0,0.0,0.06,0.34,0.08,0.0,0.0,0.61,0.0,0.12,0.4,0.04,0.05,0.74,0.16,0.0,0.02,0.11,0.39,1.5,,,,,,,55.0,74.1,20.4,0.0,0.0,0.0,2.6,0.48,0.61,0.74,0.0,0.0,0.0,0.06,0.048,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,105.00
"bovino adulto o vitellone, grasso separato (bos taurus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.075,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"gelato confezionato- nocciola, in vaschetta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,62.4,3.3,25.2,25.2,,8.4,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,183.00
marmellata di mele cotogne,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,,,,,,100.0,,,,,0.0,,,,,1.6,0.9,0.71,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
pasta di mandorle,0.059,0.0019,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011,0.00035999999999999997,0.0016,,,,100.0,10.8,9.9,54.6,54.6,,23.4,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,455.00
olio di arachide (arachis hypogaea),0.0,0.0001,0.0,0.0,0.0,0.0,,1e-05,19.39,0.0,0.1,0.27,9.91,2.53,2.28,3.25,52.52,0.0,0.0,51.3,0.0,1.22,27.87,27.87,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.019100000000000002,100.0,,0.0,0.0,0.0,0.0,99.9,19.39,52.52,27.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,899.00
mortadella di bovino e suino,0.04,0.0022,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.00015,0.0031000000000000003,,0.0,,100.0,44.2,13.3,0.5,0.5,0.0,37.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,388.00
olio di sesamo (sesamum indicum),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,0.0,0.0,0.0,8.5,4.15,0.5,0.0,40.1,0.0,0.2,39.7,0.2,0.0,42.2,41.9,0.3,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.00409,100.0,,0.0,0.0,0.0,0.0,99.9,13.15,40.1,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,899.00
piselli freschi (pisum sativum),0.045,0.0017,0.097,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,8e-05,0.0026000000000000003,6.4e-05,0.032,0.00039000000000000005,31.0,79.4,5.5,6.5,4.0,2.3,0.6,,,,6.3,0.45,5.8,0.0,0.001,0.0,,98.27,33.17,132.68,153.76,62.93,56.11,229.71,53.63,57.04,74.4,9.92,72.85,25.419999999999998,60.45,100.13,35.339999999999996,62.0,11.47,61,triptofano,52.00
"trota, surgelata, cotta [in forno a microonde senza aggiunta di acqua e di sale] (salmo trutta)",,,,,,,,,0.59,0.0,0.0,0.07,0.41,0.1,0.0,0.0,0.66,0.0,0.1,0.41,0.1,0.05,0.98,0.22,0.01,0.03,0.12,0.53,1.7,,,,,,,55.0,68.5,26.7,0.0,0.0,0.0,3.2,0.59,0.66,0.98,0.0,0.0,0.0,0.062,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,136.00
