name,acqua | g,calcio | g,carboidrati | g,colesterolo | g,ferro | g,fibre alimentari | g,fosforo | g,grassi | g,grassi monoinsaturi | g,grassi polinsaturi | g,grassi saturi | g,magnesio | g,manganese | g,potassio | g,proteine | g,rame | g,selenio | g,sodio | g,valore calorico | kcal,vitamina a | g,vitamina b1 | g,vitamina b11 | g,vitamina b12 | g,vitamina b2 | g,vitamina b3 | g,vitamina b5 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,vitamina e | g,vitamina k | g,zinco | g,zuccheri | g
brezel morbidi,15.274764764207957,0.023397761055000625,70.45816347883208,0.0030902703280189505,0.0039732047074529375,1.7658687588679718,0.08025873509054933,3.178563765962349,1.0595212553207831,0.9712278173773845,0.7063475035471888,0.02136701198230246,0.0,0.08935295919871937,8.299583166679469,8.829343794339859e-05,8.829343794339859e-05,0.7946409414905873,343.4614735998205,0.0,0.00044146718971699295,8.829343794339859e-05,0.0,0.00026488031383019577,0.0043263784592265314,0.0,8.829343794339859e-05,0.0,0.0,0.0005297606276603915,8.829343794339859e-05,0.0009712278173773846,0.2648803138301958
rombo cotto,73.68617387502759,0.024046693349395167,0.0,0.06487014950069393,0.0004934342000559884,0.0,0.17260328317958473,3.9474736004479065,0.0,0.0,0.0,0.0679952327677152,3.289561333706589e-05,0.31905455375620206,21.513731122441094,3.289561333706589e-05,3.289561333706589e-05,0.19737368002239533,127.63497974781566,3.289561333706589e-05,6.579122667413178e-05,3.289561333706589e-05,3.289561333706589e-05,9.868684001119767e-05,0.002796127133650601,0.0006908078800783837,0.00026316490669652713,0.0017763631202015581,0.0,0.0,0.0,0.0002960605200335931,0.0
castagne giapponesi arrosto,50.14798176985191,0.035173935109114575,45.3241278120305,0.0,0.0021104361065468744,0.0,0.09346217043279015,0.8039756596369044,0.4019878298184522,0.2009939149092261,0.10049695745461305,0.06431805277095236,0.0021104361065468744,0.4291220083311978,3.0149087236383916,0.0007034787021822915,0.0,0.05024847872730653,201.99888448377226,0.0,0.0005024847872730653,0.00010049695745461306,0.0,0.0,0.0007034787021822915,0.0005024847872730653,0.00040198782981845226,0.02813914808729166,0.0,0.0,0.0,0.001406957404364583,0.0
dentice crudo,77.28064355040925,0.03218489808960959,0.0,0.03721090653053716,0.00018444067673128702,0.0,0.1990114901930587,1.337194906301831,0.23055084591410874,0.4611016918282175,0.2766610150969305,0.03218489808960959,4.6110169182821755e-05,0.41918754804103253,20.611245624721324,4.6110169182821755e-05,4.6110169182821755e-05,0.04611016918282176,100.52016881855141,4.6110169182821755e-05,4.6110169182821755e-05,4.6110169182821755e-05,4.6110169182821755e-05,4.6110169182821755e-05,0.0002766610150969305,0.0007377627069251481,0.0004149915226453958,0.0016138559213987613,4.6110169182821755e-05,0.000968313552839257,4.6110169182821755e-05,0.00036888135346257404,0.0
fagioli di lima scatola,75.14290498102824,0.020464106523358602,14.519000478035055,0.0,0.0017794875237703133,4.691376199030826,0.0721096876109652,0.1617715930700285,0.020221449133753563,0.08088579653501425,0.020221449133753563,0.03801632437145669,0.00036398608440756406,0.21442824661432272,4.812704893833347,0.00016177159307002848,4.044289826750712e-05,0.323543186140057,76.84150670826352,0.0,4.044289826750712e-05,4.044289826750712e-05,0.0,4.044289826750712e-05,0.0002426573896050427,0.0002426573896050427,8.088579653501424e-05,0.0,0.0,0.0,0.0,0.0006470863722801139,0.0
frittelle di patate,47.1357696578795,0.03142384643858634,27.429289687918583,0.09373893174900332,0.0015978227002671017,3.1956454005342034,0.12622799332110105,14.646708085781768,3.7282529672899045,7.456505934579809,2.396734050400653,0.03541840318925409,0.00026630378337785034,0.6127650055524335,5.858683234312707,0.00026630378337785034,0.00026630378337785034,0.7989113501335509,263.6407455440718,0.00026630378337785034,0.00026630378337785034,0.00026630378337785034,0.00026630378337785034,0.00026630378337785034,0.0015978227002671017,0.0007989113501335509,0.0005326075667557007,0.02716298590454073,0.00026630378337785034,0.00026630378337785034,0.00026630378337785034,0.0007989113501335509,1.8641264836449523
ostrica cotta,64.92663290481757,0.01623165822620439,10.144786391377744,0.10144786391377744,0.009333203480067524,0.0,0.24672120503830675,4.869497467861318,0.8115829113102195,1.623165822620439,1.2173743669653294,0.044637060122062075,0.0012173743669653292,0.30637254901960786,19.072198415790158,0.0028405401895857684,0.0004057914556551098,0.20289572782755488,166.37449681859502,0.0004057914556551098,0.0004057914556551098,0.0004057914556551098,0.0004057914556551098,0.0004057914556551098,0.0036521231008959884,0.0008115829113102196,0.0004057914556551098,0.012985326580963514,0.0,0.0008115829113102196,0.0004057914556551098,0.03368069081937411,0.0
mirtilli rossi,83.12428565067015,0.007633862967918687,11.662846200986882,0.0,0.00021205174910885242,4.453086731285901,0.012511053197422295,0.1060258745544262,0.1060258745544262,0.1060258745544262,0.1060258745544262,0.005725397225939015,0.00042410349821770483,0.08121581990869048,0.4241034982177048,0.00021205174910885242,0.00021205174910885242,0.1060258745544262,44.53086731285901,0.0,0.00021205174910885242,0.00021205174910885242,0.0,0.00021205174910885242,0.00021205174910885242,0.00021205174910885242,0.00021205174910885242,0.012723104946531146,0.0,0.001060258745544262,0.00021205174910885242,0.00021205174910885242,3.816931483959343
margarina salata,16.7015036414339,0.003036637025715254,0.5061061709525424,0.0,0.0005061061709525425,0.0,0.005061061709525424,81.48309352335933,39.47628133429831,24.79920237667458,15.183185128576271,0.003036637025715254,0.0,0.018219822154291528,0.2530530854762712,0.0,0.0,1.0122123419050848,723.7318244621356,0.001012212341905085,0.0005061061709525425,0.0005061061709525425,0.0005061061709525425,0.0005061061709525425,0.0005061061709525425,0.0,0.0005061061709525425,0.0005061061709525425,0.0,0.009109911077145764,0.0005061061709525425,0.0,0.0
sprite coca cola,89.77940228001205,0.0020053352757986387,10.135072880387714,0.0,0.00010839650139452103,0.0,0.0,0.01354956267431513,0.0,0.0,0.0,0.0010026676378993194,2.7099125348630258e-05,0.0010026676378993194,0.05419825069726052,2.7099125348630258e-05,0.0,0.01354956267431513,40.10670551597278,0.0,0.0,0.0,0.0,0.0,2.7099125348630258e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.7099125348630258e-05,8.969810490396615
