Valori nutrizionali,per porzione,% RDA
Valore calorico,35 kcal 146 kJ,"1,7 %"
Grassi,"0,2 g","0,3 %"
Grassi saturi,"< 0,1 g","0,2 %"
Grassi monoinsaturi,"< 0,1 g","0,2 %"
Grassi polinsaturi,"< 0,1 g","0,6 %"
Carboidrati,"7,5 g","2,8 %"
Zuccheri,"2,1 g","4,2 %"
Proteine,"0,7 g","1,0 %"
Fibre alimentari,"0,2 g","< 0,1 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,4 g","< 0,1 %"
