Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","22,6 %"
Vitamina B11,"< 0,1 mg","22,2 %"
Vitamina B12,"< 0,1 mg","8,1 %"
Vitamina B2,"0,2 mg","11,1 %"
Vitamina B3,"3,6 mg","22,5 %"
Vitamina B5,"0,6 mg","9,7 %"
Vitamina B6,"0,2 mg","14,0 %"
Vitamina C,"0,4 mg","0,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
