Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Non-Alcoholic beverages,Bevande
Grassi,1 g,"+66%0,604 g","+90%0,527 g"
- Acidi Grassi saturi,1 g,"+652%0,133 g","+747%0,118 g"
Carboidrati,1 g,"-88%8,35 g","-89%9,03 g"
- Zuccheri,1 g,"-87%7,52 g","-88%8,07 g"
Proteine,1 g,"+31%0,761 g","+34%0,745 g"
Sale,1 g,"+465%0,177 g","+635%0,136 g"
Sodio,"0,394 g","+465%0,07 g","+635%0,054 g"
