Valori nutrizionali,per porzione,% RDA
Valore calorico,25 kcal 103 kJ,"1,2 %"
Grassi,"0,7 g","1,1 %"
Grassi saturi,"0,1 g","0,6 %"
Grassi monoinsaturi,"0,2 g","0,8 %"
Grassi polinsaturi,"0,3 g","1,8 %"
Carboidrati,"6,6 g","2,5 %"
Zuccheri,"0,1 g","0,3 %"
Proteine,"1,7 g","2,4 %"
Fibre alimentari,"1,5 g","0,5 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,7 g","< 0,1 %"
