Minerali,per porzione,% RDA
Calcio,"5,8 mg","0,6 %"
Rame,"< 0,1 mg","4,0 %"
Ferro,"0,5 mg","3,6 %"
Magnesio,"23,5 mg","7,8 %"
Manganese,"0,6 mg","28,2 %"
Fosforo,"73,4 mg","10,5 %"
Potassio,"56,6 mg","2,8 %"
Selenio,"< 0,1 mg","15,1 %"
Zinco,"0,3 mg","4,4 %"
