,0,1,2,3
1,Proteine(%): 15.5,,,
2,Lisina:,1723,11.12,
3,Istidina:,493,3.18,
4,Arginina:,1072,6.92,
5,Acido aspartico:,1358,8.76,
6,Treonina:,637,4.11,
7,Serina:,581,3.75,
8,Acido glutamico:,1924,12.41,
9,Prolina:,760,4.9,
10,Glicina:,597,3.85,
11,Alanina:,786,5.07,
12,Cistina:,135,0.87,
13,Valina:,754,4.86,
14,Metionina:,446,2.88,
15,Isoleucina:,666,4.3,
16,Leucina:,1165,7.52,
17,Tirosina:,503,3.25,
18,Fenilalanina:,602,3.88,
19,Triptofano:,207,1.34,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Fenil.,,
