,0,1,2,3
1,Proteine(%): 21.4,,,
2,Lisina:,1452,6.79,
3,Istidina:,419,1.96,
4,Arginina:,1450,6.78,
5,Acido aspartico:,1946,9.1,
6,Treonina:,702,3.28,
7,Serina:,860,4.02,
8,Acido glutamico:,2871,13.42,
9,Prolina:,1679,7.85,
10,Glicina:,2712,12.68,
11,Alanina:,1683,7.87,
12,Cistina:,171,0.8,
13,Valina:,988,4.62,
14,Metionina:,361,1.69,
15,Isoleucina:,811,3.79,
16,Leucina:,1412,6.6,
17,Tirosina:,562,2.63,
18,Fenilalanina:,804,3.76,
19,Triptofano:,135,0.63,
20,Indice Chimico:,57,,
21,Aminoacido limitante:,Trip.,,
