Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,"3,1 g"
- Acidi Grassi saturi,"1,6 g"
Carboidrati,"53,8 g"
- Zuccheri,"1,3 g"
Fibra alimentare,"11,1 g"
Proteine,"20,6 g"
Sale,"0,06 g"
Sodio,"0,024 g"
Alcol,0 % vol
Nutrition score - France,-5
Nutri-Score,A
