,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,76.8,
3,Proteine (g):,2.8,
4,Lipidi(g):,0.2,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,6,
7,Amido (g):,0,
8,Zuccheri solubili (g):,6,
9,Fibra totale (g):,1.6,
10,Fibra solubile (g):,0.2,
11,Fibra insolubile (g):,1.37,
12,Alcol (g):,0,
13,Energia (kcal):,36,
14,Energia (kJ):,150,
15,Sodio (mg):,20,
16,Potassio (mg):,220,
17,Ferro (mg):,2,
18,Calcio (mg):,130,
19,Fosforo (mg):,62,
20,Magnesio (mg):,52,
21,Zinco (mg):,1.5,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,,
28,Vitamina C (mg):,18,
29,Vitamina E (mg):,,
