Minerali,per porzione,% RDA
Calcio,"4,1 mg","0,4 %"
Rame,"< 0,1 mg","< 0,1 %"
Ferro,"< 0,1 mg","< 0,1 %"
Magnesio,"0,5 mg","0,2 %"
Manganese,"< 0,1 mg","< 0,1 %"
Fosforo,"3,8 mg","0,5 %"
Potassio,"6,1 mg","0,3 %"
Selenio,"< 0,1 mg","0,3 %"
Zinco,"< 0,1 mg","0,2 %"
