,0,1,2,3
1,Proteine(%): 19.7,,,
2,Lisina:,1747,8.51,
3,Istidina:,690,3.36,
4,Arginina:,1257,6.13,
5,Acido aspartico:,1889,9.21,
6,Treonina:,810,3.95,
7,Serina:,776,3.79,
8,Acido glutamico:,3280,15.98,
9,Prolina:,922,4.49,
10,Glicina:,1198,5.83,
11,Alanina:,1237,6.03,
12,Cistina:,223,1.09,
13,Valina:,928,4.53,
14,Metionina:,542,2.64,
15,Isoleucina:,847,4.13,
16,Leucina:,1621,7.9,
17,Tirosina:,644,3.14,
18,Fenilalanina:,774,3.78,
19,Triptofano:,179,0.87,
20,Indice Chimico:,87,,
21,Aminoacido limitante:,Trip.,,
