Valori nutrizionali,per porzione,% RDA
Valore calorico,917 kcal 3.839 kJ,"45,8 %"
Grassi,"45,4 g","69,9 %"
Grassi saturi,"9,1 g","41,6 %"
Grassi monoinsaturi,"31,0 g","106,8 %"
Grassi polinsaturi,"3,1 g","20,4 %"
Carboidrati,"117,7 g","43,9 %"
Zuccheri,"33,2 g","66,4 %"
Proteine,"9,3 g","12,8 %"
Fibre alimentari,"3,5 g","1,2 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,9 g","0,2 %"
Acqua,"8,0 g","0,4 %"
