0,1
Grassi saturi totali,16.69
C4:0\÷C10:0 (laurico),2.19
C12:0 (laurico),0.49
C14:0 (miristico),2.84
C16:0 (palmitico),8.22
C18:0 (stearico),2.95
C20:0 (arachidico),0.00
C22:0 (beenico),0.00
Grassi monoinsaturi totali,7.20
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),0.80
C18:1 (oleico),6.40
C20:1 (eicosaenoico),0.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,0.80
C18:2 W6 (linoleico),0.52
C18:3 W3 (linolenico),0.28
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,0.00
