Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Mueslis with fruits,Mixed cereal flakes,Mueslis,Flakes,Cereal flakes,Breakfast cereals,Breakfasts,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"3,4 g","-70%11,5 g","-76%13,9 g","-76%13,9 g","-72%12,2 g","-72%12,2 g","-70%11,3 g","-72%12,1 g","-35%5,26 g","-45%6,21 g","-68%10,7 g","-65%9,61 g"
- Acidi Grassi saturi,"1,5 g","-56%3,43 g","-61%3,8 g","-61%3,8 g","-54%3,27 g","-54%3,27 g","-56%3,43 g","-56%3,41 g","+6%1,41 g","-11%1,68 g","-36%2,35 g","-29%2,11 g"
Carboidrati,"63,2 g","+1%62,3 g","+3%61,4 g","+3%61,4 g",0%63 g,0%63 g,"-2%64,7 g","+4%60,7 g","+5%60,4 g","+6%59,9 g","+33%47,6 g","+44%43,9 g"
- Zuccheri,"18,8 g","-11%21,1 g","-11%21,1 g","-11%21,1 g","+3%18,2 g","+3%18,2 g","-3%19,3 g","-56%42,3 g","+147%7,6 g","+186%6,57 g","+119%8,57 g","+114%8,8 g"
Fibra alimentare,"7,5 g",?,"-1%7,55 g","-1%7,55 g","+3%7,26 g","+3%7,26 g","+4%7,21 g","+43%5,23 g","+60%4,7 g","+59%4,71 g","+72%4,35 g","+86%4,03 g"
Proteine,"9,4 g","+7%8,76 g","+3%9,11 g","+3%9,11 g","+2%9,23 g","+2%9,23 g","+3%9,15 g","+74%5,4 g","-4%9,83 g","-1%9,47 g","+21%7,75 g","+35%6,98 g"
Sale,"0,1 g","-57%0,231 g","-64%0,279 g","-64%0,279 g","-73%0,364 g","-73%0,364 g","-80%0,511 g","-66%0,292 g","-67%0,307 g","-86%0,732 g","-83%0,594 g","-81%0,534 g"
Sodio,"0,039 g","-57%0,091 g","-64%0,11 g","-64%0,11 g","-73%0,143 g","-73%0,143 g","-80%0,201 g","-66%0,115 g","-67%0,121 g","-86%0,288 g","-83%0,234 g","-81%0,21 g"
Nutrition score - France,-1,"-117%5,82","-113%7,89","-113%7,89","-115%6,83","-115%6,83","-113%7,84","-108%12,1","-213%0,885","-132%3,08","-132%3,1","-126%3,88"
Nutri-Score,A,C,C,C,C,C,C,D,B,C,C,C
