Minerali,per porzione,% RDA
Calcio,"191,3 mg","19,1 %"
Rame,"0,6 mg","60,8 %"
Ferro,"7,8 mg","52,2 %"
Magnesio,"133,6 mg","44,5 %"
Manganese,"1,3 mg","67,5 %"
Fosforo,"238,4 mg","34,1 %"
Potassio,"1.189,5 mg","59,5 %"
Selenio,"< 0,1 mg","14,0 %"
Zinco,"2,9 mg","41,9 %"
