Minerali,per porzione,% RDA
Calcio,"144,0 mg","14,4 %"
Rame,"0,1 mg","11,3 %"
Ferro,"0,8 mg","5,5 %"
Magnesio,"30,0 mg","10,0 %"
Manganese,"< 0,1 mg","4,4 %"
Fosforo,"175,5 mg","25,1 %"
Potassio,"214,5 mg","10,7 %"
Selenio,"< 0,1 mg","37,0 %"
Zinco,"1,0 mg","13,7 %"
