,0,1,2,3
1,Proteine(%): 26.7,,,
2,Lisina:,2311,8.66,
3,Istidina:,822,3.08,
4,Arginina:,1604,6.01,
5,Acido aspartico:,2704,10.13,
6,Treonina:,1073,4.02,
7,Serina:,1097,4.11,
8,Acido glutamico:,4166,15.61,
9,Prolina:,1166,4.37,
10,Glicina:,1521,5.7,
11,Alanina:,1730,6.48,
12,Cistina:,320,1.2,
13,Valina:,1417,5.31,
14,Metionina:,702,2.63,
15,Isoleucina:,1220,4.57,
16,Leucina:,2285,8.56,
17,Tirosina:,902,3.38,
18,Fenilalanina:,1081,4.05,
19,Triptofano:,280,1.05,
20,Indice Chimico:,95,,
21,Aminoacido limitante:,Trip.,,
