Valori nutrizionali,per porzione,% RDA
Valore calorico,25 kcal 104 kJ,"1,2 %"
Grassi,"0,4 g","0,6 %"
Grassi saturi,"< 0,1 g","0,4 %"
Grassi monoinsaturi,"< 0,1 g","< 0,1 %"
Grassi polinsaturi,"0,2 g","1,1 %"
Carboidrati,"5,1 g","1,9 %"
Zuccheri,"0,4 g","0,8 %"
Proteine,"1,5 g","2,0 %"
Fibre alimentari,"1,9 g","0,6 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"47,1 g","2,4 %"
