Valori nutrizionali,per porzione,% RDA
Valore calorico,140 kcal 587 kJ,"7,0 %"
Grassi,"1,1 g","1,8 %"
Grassi saturi,"0,2 g","0,7 %"
Grassi monoinsaturi,"0,2 g","0,6 %"
Grassi polinsaturi,"0,5 g","3,1 %"
Carboidrati,"30,8 g","11,5 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"6,1 g","8,4 %"
Fibre alimentari,"6,0 g","2,0 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"2,0 g","0,4 %"
Acqua,"378,6 g","18,9 %"
