Minerali,per porzione,% RDA
Calcio,"21,2 mg","2,1 %"
Rame,"< 0,1 mg","4,1 %"
Ferro,"0,3 mg","2,2 %"
Magnesio,"40,5 mg","13,5 %"
Manganese,"< 0,1 mg","1,1 %"
Fosforo,"438,1 mg","62,6 %"
Potassio,"552,0 mg","27,6 %"
Selenio,"< 0,1 mg","166,6 %"
Zinco,"0,6 mg","8,8 %"
