Valori nutrizionali,per porzione,% RDA
Valore calorico,130 kcal 544 kJ,"6,5 %"
Grassi,"4,5 g","6,9 %"
Grassi saturi,"0,9 g","4,2 %"
Grassi monoinsaturi,"1,8 g","6,2 %"
Grassi polinsaturi,"1,2 g","8,0 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"21,0 g","28,7 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"51,0 mg","170,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"73,6 g","3,7 %"
