Valori nutrizionali,per porzione,% RDA
Valore calorico,431 kcal 1.806 kJ,"21,6 %"
Grassi,"25,5 g","39,3 %"
Grassi saturi,"6,8 g","30,7 %"
Grassi monoinsaturi,"10,4 g","35,8 %"
Grassi polinsaturi,"6,1 g","40,6 %"
Carboidrati,"13,8 g","5,1 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"34,4 g","47,1 %"
Fibre alimentari,"0,5 g","0,2 %"
Colesterolo,"142,2 mg","474,0 %"
Sodio,"0,4 g","< 0,1 %"
Acqua,"82,3 g","4,1 %"
