Minerali,per porzione,% RDA
Calcio,"18,2 mg","1,8 %"
Rame,"0,1 mg","13,7 %"
Ferro,"1,7 mg","11,6 %"
Magnesio,"58,2 mg","19,4 %"
Manganese,"1,1 mg","55,4 %"
Fosforo,"72,8 mg","10,4 %"
Potassio,"123,8 mg","6,2 %"
Selenio,"< 0,1 mg","3,6 %"
Zinco,"1,0 mg","14,8 %"
