Valori nutrizionali,per porzione,% RDA
Valore calorico,316 kcal 1.323 kJ,"15,8 %"
Grassi,"23,1 g","35,5 %"
Grassi saturi,"9,8 g","44,7 %"
Grassi monoinsaturi,"9,7 g","33,4 %"
Grassi polinsaturi,"1,7 g","11,2 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"25,2 g","34,5 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"100,0 mg","333,3 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"51,6 g","2,6 %"
