Minerali,per porzione,% RDA
Calcio,"49,6 mg","5,0 %"
Rame,"0,1 mg","13,4 %"
Ferro,"1,2 mg","7,9 %"
Magnesio,"33,5 mg","11,2 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"45,6 mg","6,5 %"
Potassio,"142,0 mg","7,1 %"
Selenio,"< 0,1 mg","3,1 %"
Zinco,"0,1 mg","1,9 %"
