Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,7 mg","63,6 %"
Vitamina B11,"< 0,1 mg","6,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","9,0 %"
Vitamina B3,"10,0 mg","62,6 %"
Vitamina B5,"2,5 mg","41,9 %"
Vitamina B6,"1,2 mg","83,1 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,9 mg","15,8 %"
Vitamina K,"0,0 mg","0,0 %"
