Minerali,per porzione,% RDA
Calcio,"9,0 mg","0,9 %"
Rame,"< 0,1 mg","4,7 %"
Ferro,"1,4 mg","9,4 %"
Magnesio,"9,6 mg","3,2 %"
Manganese,"< 0,1 mg","2,7 %"
Fosforo,"149,8 mg","21,4 %"
Potassio,"166,4 mg","8,3 %"
Selenio,"< 0,1 mg","44,2 %"
Zinco,"0,9 mg","13,3 %"
