Valori nutrizionali,per porzione,% RDA
Valore calorico,82 kcal 343 kJ,"4,1 %"
Grassi,"0,0 g","0,0 %"
Grassi saturi,"0,0 g","0,0 %"
Grassi monoinsaturi,"0,0 g","0,0 %"
Grassi polinsaturi,"0,0 g","0,0 %"
Carboidrati,"21,2 g","7,9 %"
Zuccheri,"21,2 g","42,4 %"
Proteine,"0,0 g","0,0 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"178,6 g","8,9 %"
