Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,6 mg","57,3 %"
Vitamina B11,"< 0,1 mg","14,7 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","11,5 %"
Vitamina B3,"2,1 mg","13,0 %"
Vitamina B5,"1,7 mg","28,4 %"
Vitamina B6,"0,5 mg","32,7 %"
Vitamina C,"10,6 mg","13,3 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
