Minerali,per porzione,% RDA
Calcio,"17,9 mg","1,8 %"
Rame,"< 0,1 mg","9,0 %"
Ferro,"0,8 mg","5,5 %"
Magnesio,"21,8 mg","7,3 %"
Manganese,"0,2 mg","8,1 %"
Fosforo,"131,8 mg","18,8 %"
Potassio,"399,4 mg","20,0 %"
Selenio,"< 0,1 mg","2,6 %"
Zinco,"0,4 mg","5,9 %"
