Minerali,per porzione,% RDA
Calcio,"8,4 mg","0,8 %"
Rame,"< 0,1 mg","0,9 %"
Ferro,"< 0,1 mg","0,4 %"
Magnesio,"4,1 mg","1,4 %"
Manganese,"< 0,1 mg","0,9 %"
Fosforo,"4,7 mg","0,7 %"
Potassio,"36,9 mg","1,8 %"
Selenio,"< 0,1 mg","1,4 %"
Zinco,"0,1 mg","1,8 %"
