Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","22,2 %"
Vitamina B11,"< 0,1 mg","10,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","15,1 %"
Vitamina B3,"5,7 mg","35,5 %"
Vitamina B5,"1,5 mg","24,9 %"
Vitamina B6,"0,5 mg","38,9 %"
Vitamina C,"45,2 mg","56,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
