Minerali,per porzione,% RDA
Calcio,"1,8 mg","0,2 %"
Rame,"< 0,1 mg","0,5 %"
Ferro,"< 0,1 mg","0,3 %"
Magnesio,"0,7 mg","0,2 %"
Manganese,"< 0,1 mg","2,6 %"
Fosforo,"0,6 mg","< 0,1 %"
Potassio,"5,3 mg","0,3 %"
Selenio,"< 0,1 mg","< 0,1 %"
Zinco,"< 0,1 mg","< 0,1 %"
