Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,0 mg","90,6 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","11,6 %"
Vitamina B3,"8,6 mg","53,8 %"
Vitamina B5,"0,9 mg","15,8 %"
Vitamina B6,"0,3 mg","22,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,3 mg","2,1 %"
Vitamina K,"0,0 mg","0,0 %"
