Minerali,per porzione,% RDA
Calcio,"97,6 mg","9,8 %"
Rame,"0,2 mg","24,4 %"
Ferro,"1,6 mg","10,6 %"
Magnesio,"31,7 mg","10,6 %"
Manganese,"0,5 mg","24,6 %"
Fosforo,"73,2 mg","10,5 %"
Potassio,"259,9 mg","13,0 %"
Selenio,"< 0,1 mg","43,1 %"
Zinco,"0,7 mg","9,8 %"
