Valori nutrizionali,per porzione,% RDA
Valore calorico,37 kcal 154 kJ,"1,8 %"
Grassi,"0,6 g","1,0 %"
Grassi saturi,"0,0 g","0,0 %"
Grassi monoinsaturi,"0,0 g","0,0 %"
Grassi polinsaturi,"0,0 g","0,0 %"
Carboidrati,"5,9 g","2,2 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"4,2 g","5,7 %"
Fibre alimentari,"2,7 g","0,9 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"146,6 g","7,3 %"
