Minerali,per porzione,% RDA
Calcio,"55,5 mg","5,6 %"
Rame,"0,1 mg","14,9 %"
Ferro,"0,6 mg","3,7 %"
Magnesio,"44,6 mg","14,9 %"
Manganese,"0,3 mg","17,0 %"
Fosforo,"81,3 mg","11,6 %"
Potassio,"119,7 mg","6,0 %"
Selenio,"< 0,1 mg","1,3 %"
Zinco,"0,5 mg","7,5 %"
