Minerali,per porzione,% RDA
Calcio,"5,7 mg","0,6 %"
Rame,"< 0,1 mg","0,1 %"
Ferro,"< 0,1 mg","< 0,1 %"
Magnesio,"0,6 mg","0,2 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"4,5 mg","0,6 %"
Potassio,"7,5 mg","0,4 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"< 0,1 mg","0,3 %"
