Valori nutrizionali,per porzione,% RDA
Valore calorico,1.235 kcal 5.170 kJ,"61,7 %"
Grassi,"80,8 g","124,3 %"
Grassi saturi,"32,6 g","148,1 %"
Grassi monoinsaturi,"37,4 g","128,9 %"
Grassi polinsaturi,"5,9 g","39,5 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"126,8 g","173,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"431,0 mg","1.436,8 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"241,6 g","12,1 %"
