Minerali,per porzione,% RDA
Calcio,"6,0 mg","0,6 %"
Rame,"0,1 mg","11,1 %"
Ferro,"2,5 mg","16,7 %"
Magnesio,"18,7 mg","6,2 %"
Manganese,"< 0,1 mg","0,6 %"
Fosforo,"164,1 mg","23,4 %"
Potassio,"254,2 mg","12,7 %"
Selenio,"< 0,1 mg","55,5 %"
Zinco,"3,9 mg","55,4 %"
