Minerali,per porzione,% RDA
Calcio,"253,4 mg","25,3 %"
Rame,"< 0,1 mg","0,7 %"
Ferro,"0,2 mg","1,3 %"
Magnesio,"24,6 mg","8,2 %"
Manganese,"< 0,1 mg","0,2 %"
Fosforo,"191,9 mg","27,4 %"
Potassio,"351,8 mg","17,6 %"
Selenio,"< 0,1 mg","14,8 %"
Zinco,"1,1 mg","15,1 %"
