Minerali,per porzione,% RDA
Calcio,"63,4 mg","6,3 %"
Rame,"< 0,1 mg","3,6 %"
Ferro,"1,0 mg","6,5 %"
Magnesio,"63,4 mg","21,1 %"
Manganese,"0,4 mg","18,2 %"
Fosforo,"28,1 mg","4,0 %"
Potassio,"144,5 mg","7,2 %"
Selenio,"< 0,1 mg","1,3 %"
Zinco,"0,2 mg","2,9 %"
