Valori nutrizionali,per porzione,% RDA
Valore calorico,227 kcal 949 kJ,"11,3 %"
Grassi,"0,5 g","0,8 %"
Grassi saturi,"0,1 g","0,5 %"
Grassi monoinsaturi,"< 0,1 g","0,3 %"
Grassi polinsaturi,"0,1 g","1,0 %"
Carboidrati,"59,7 g","22,3 %"
Zuccheri,"24,2 g","48,4 %"
Proteine,"2,4 g","3,2 %"
Fibre alimentari,"10,8 g","3,6 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"155,4 g","7,8 %"
