Minerali,per porzione,% RDA
Calcio,"38,4 mg","3,8 %"
Rame,"0,4 mg","41,0 %"
Ferro,"114,1 mg","760,5 %"
Magnesio,"62,0 mg","20,7 %"
Manganese,"0,2 mg","9,1 %"
Fosforo,"1.006,0 mg","143,7 %"
Potassio,"731,6 mg","36,6 %"
Selenio,"0,1 mg","489,7 %"
Zinco,"11,6 mg","166,0 %"
