Valori nutrizionali,per porzione,% RDA
Valore calorico,145 kcal 609 kJ,"7,3 %"
Grassi,"0,2 g","0,3 %"
Grassi saturi,"< 0,1 g","0,1 %"
Grassi monoinsaturi,"< 0,1 g","< 0,1 %"
Grassi polinsaturi,"< 0,1 g","0,4 %"
Carboidrati,"39,1 g","14,6 %"
Zuccheri,"34,0 g","67,9 %"
Proteine,"0,6 g","0,8 %"
Fibre alimentari,"5,1 g","1,7 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"214,5 g","10,7 %"
