Minerali,per porzione,% RDA
Calcio,"144,0 mg","14,4 %"
Rame,"2,3 mg","232,5 %"
Ferro,"0,4 mg","2,9 %"
Magnesio,"64,5 mg","21,5 %"
Manganese,"< 0,1 mg","4,9 %"
Fosforo,"277,5 mg","39,6 %"
Potassio,"345,0 mg","17,3 %"
Selenio,"0,1 mg","365,5 %"
Zinco,"6,1 mg","86,8 %"
