Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","10,2 %"
Vitamina B11,"< 0,1 mg","21,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","8,4 %"
Vitamina B3,"1,8 mg","11,4 %"
Vitamina B5,"0,7 mg","11,9 %"
Vitamina B6,"0,5 mg","37,7 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
