Minerali,per porzione,% RDA
Calcio,"41,8 mg","4,2 %"
Rame,"0,2 mg","20,5 %"
Ferro,"3,0 mg","20,3 %"
Magnesio,"40,7 mg","13,6 %"
Manganese,"0,4 mg","19,6 %"
Fosforo,"86,9 mg","12,4 %"
Potassio,"369,6 mg","18,5 %"
Selenio,"< 0,1 mg","61,2 %"
Zinco,"2,4 mg","33,8 %"
