Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","39,6 %"
Vitamina B11,"0,3 mg","79,7 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","27,3 %"
Vitamina B3,"5,6 mg","35,2 %"
Vitamina B5,"9,5 mg","157,6 %"
Vitamina B6,"1,1 mg","77,1 %"
Vitamina C,"1,9 mg","2,3 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
