Minerali,per porzione,% RDA
Calcio,"122,4 mg","12,2 %"
Rame,"0,4 mg","42,5 %"
Ferro,"3,1 mg","20,9 %"
Magnesio,"127,5 mg","42,5 %"
Manganese,"0,8 mg","37,9 %"
Fosforo,"508,3 mg","72,6 %"
Potassio,"2.597,6 mg","129,9 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"1,5 mg","22,1 %"
