Valori nutrizionali,per porzione,% RDA
Valore calorico,440 kcal 1.842 kJ,"22,0 %"
Grassi,"29,7 g","45,7 %"
Grassi saturi,"12,5 g","56,7 %"
Grassi monoinsaturi,"10,3 g","35,6 %"
Grassi polinsaturi,"4,0 g","26,7 %"
Carboidrati,"31,8 g","11,9 %"
Zuccheri,"2,3 g","4,6 %"
Proteine,"11,3 g","15,4 %"
Fibre alimentari,"1,4 g","0,5 %"
Colesterolo,"33,9 mg","113,1 %"
Sodio,"1,0 g","0,2 %"
Acqua,"40,6 g","2,0 %"
