Minerali,per porzione,% RDA
Calcio,"116,4 mg","11,6 %"
Rame,"< 0,1 mg","0,6 %"
Ferro,"< 0,1 mg","0,7 %"
Magnesio,"6,0 mg","2,0 %"
Manganese,"< 0,1 mg","0,6 %"
Fosforo,"104,1 mg","14,9 %"
Potassio,"56,1 mg","2,8 %"
Selenio,"< 0,1 mg","14,5 %"
Zinco,"0,7 mg","10,2 %"
