Minerali,per porzione,% RDA
Calcio,"12,5 mg","1,3 %"
Rame,"0,2 mg","16,8 %"
Ferro,"0,7 mg","4,3 %"
Magnesio,"7,5 mg","2,5 %"
Manganese,"< 0,1 mg","3,8 %"
Fosforo,"7,5 mg","1,1 %"
Potassio,"32,5 mg","1,6 %"
Selenio,"< 0,1 mg","4,2 %"
Zinco,"0,2 mg","2,5 %"
