Valori nutrizionali,per porzione,% RDA
Valore calorico,537 kcal 2.246 kJ,"26,8 %"
Grassi,"26,5 g","40,7 %"
Grassi saturi,"9,1 g","41,5 %"
Grassi monoinsaturi,"9,2 g","31,7 %"
Grassi polinsaturi,"5,0 g","33,2 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"69,8 g","95,7 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"771,8 mg","2.572,5 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"147,7 g","7,4 %"
