Minerali,per porzione,% RDA
Calcio,"19,4 mg","1,9 %"
Rame,"0,1 mg","10,3 %"
Ferro,"3,3 mg","21,9 %"
Magnesio,"10,3 mg","3,4 %"
Manganese,"0,1 mg","5,7 %"
Fosforo,"191,5 mg","27,4 %"
Potassio,"166,4 mg","8,3 %"
Selenio,"< 0,1 mg","43,3 %"
Zinco,"0,8 mg","11,1 %"
