Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,0 mg","0,0 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"< 0,1 mg","28,8 %"
Vitamina B2,"0,3 mg","24,3 %"
Vitamina B3,"2,0 mg","12,5 %"
Vitamina B5,"1,0 mg","16,7 %"
Vitamina B6,"0,2 mg","14,2 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
