Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,1 mg","97,3 %"
Vitamina B11,"< 0,1 mg","15,7 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","14,1 %"
Vitamina B3,"1,6 mg","10,0 %"
Vitamina B5,"0,6 mg","10,7 %"
Vitamina B6,"2,1 mg","149,4 %"
Vitamina C,"6,9 mg","8,6 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"2,8 mg","23,6 %"
Vitamina K,"0,0 mg","0,0 %"
