Valori nutrizionali,per porzione,% RDA
Valore calorico,50 kcal 211 kJ,"2,5 %"
Grassi,"1,8 g","2,8 %"
Grassi saturi,"0,8 g","3,8 %"
Grassi monoinsaturi,"0,6 g","2,0 %"
Grassi polinsaturi,"0,2 g","1,6 %"
Carboidrati,"7,8 g","2,9 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"0,8 g","1,1 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,3 g","< 0,1 %"
